"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@sk"
"sk_asset_activated_development_cost","chart_sk_012000","chart_sk_072000","chart_sk_551000","Activated development costs","5","12","Aktivované náklady na vývoj"
"sk_asset_software","chart_sk_013000","chart_sk_073000","chart_sk_551000","Software","4","12","Softvér"
"sk_asset_appreciable_rights","chart_sk_014000","chart_sk_074000","chart_sk_551000","Appreciable rights","5","12","Oceniteľné práva"
"sk_asset_goodwill","chart_sk_015000","chart_sk_075000","chart_sk_551000","Goodwill","5","12","Goodwill"
"sk_asset_other_intagible_fixed_assets","chart_sk_019000","chart_sk_079000","chart_sk_551000","Other intangible fixed assets","5","12","Ostatný dlhodobý nehmotný majetok"
"sk_asset_buildings","chart_sk_021000","chart_sk_081000","chart_sk_551000","Buildings","40","12","Stavby"
"sk_asset_separate_movables_and_sets_of_movables","chart_sk_022000","chart_sk_082000","chart_sk_551000","Separate movables and sets of movables","6","12","Samostatné hnuteľné veci a súbory hnuteľných vecí"
"sk_asset_growing_units_of_permanent_crops","chart_sk_025000","chart_sk_085000","chart_sk_551000","Growing units of permanent crops","12","12","Pestovateľské celky trvalých porastov"
"sk_asset_basic_herd_and_draft_animals","chart_sk_029000","chart_sk_086000","chart_sk_551000","Basic herd and draft animals","4","12","Základné stádo a ťažné zvieratá"
"sk_asset_other_tangible_fixes_assets","chart_sk_031000","chart_sk_089000","chart_sk_551000","Other tangible fixed assets","6","12","Ostatný dlhodobý hmotný majetok"
