"id","name","country_id","name@ar"
"bh_tax_group_10","VAT 10%","base.bh","10% ضريبة"
"bh_tax_group_0","VAT 0%","base.bh","0% ضريبة"
"bh_tax_group_exempt","VAT Exempt","base.bh","معفاة من ضريبة القيمة المضافة"
"bh_tax_group_rc_10","Reverse Charge VAT 10%","base.bh","الرسوم العكسية لضريبة القيمة المضافة 10%"
