"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@ar"
"fiscal_position_template_dom","1","Bahrain","1","","base.bh","","","","البحرين"
"fiscal_position_non_bahrain_gcc","2","Non-Bahrain (GCC)","1","","","l10n_bh.gulf_cooperation_council_without_bh","l10n_bh_purchase_vat_10","l10n_bh_purchase_vat_10_ex","غير البحرين (دول مجلس التعاون الخليجي)"
"","","","","","","","l10n_bh_sale_vat_10","l10n_bh_sale_vat_0_gcc",""
"fiscal_position_non_bahrain","3","Non-Bahrain","1","","","","l10n_bh_purchase_vat_10","l10n_bh_purchase_vat_10_ex","غير البحرين"
"","","","","","","","l10n_bh_sale_vat_10","l10n_bh_sale_0_ex",""
