"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@fr"
"tva_sale_18","18%","VAT 18% (sale)","","18.0","percent","sale","tax_group_18","base","invoice","","T.V.A. 18% (vente)"
"","","","","","","","","tax","invoice","pcg_4431",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","pcg_4431",""
"tva_purchase_18","18%","VAT 18% (purchase)","","18.0","percent","purchase","tax_group_18","base","invoice","","T.V.A. 18% (achat)"
"","","","","","","","","tax","invoice","pcg_4452",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","pcg_4452",""
"tva_exonere","0% EXEMPT","Exempt from VAT (sale)","","0.0","","sale","tax_group_0","base","invoice","","Exempt de TVA (vente)"
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","",""
"tva_achat_exonere","0% EXEMPT","Exempt from VAT (purchase)","","0.0","","purchase","tax_group_0","base","invoice","","Exempt de TVA (achat)"
"","","","","","","","","tax","invoice","",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","",""
