"id","sequence","name","auto_apply","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_national","1","National","1","base.ke","",""
"fiscal_position_template_non_kenyan","2","International","1","","ST16","ST0EXPORT"
"","","","","","ST8","ST0EXPORT"
"","","","","","PT16","PT0"
"","","","","","PT8","PT0"
