"id","name","category_id/id"
"l10n_sg_statutory_board_res_partner_rpo","Republic Polytechnic","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_scb","Science Centre Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_sdc","Sentosa Devt Corporation","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_seb","SEAB","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_sfa","Singapore Food Agency","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_sla","Singapore Land Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_slf","Singapore Labour Foundation","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_spo","Singapore Polytechnic","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ssc","Singapore Sports Council","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ssg","SkillsFuture Singapore","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_stb","Singapore Tourism Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_stc","A*STAR Companies","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_str","A*Star","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_tot","Tote Board","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_tpo","Temasek Polytechnic","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_ura","Urban Redevelopment Authority","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_wsg","Workforce Singapore","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_yrf","Yellow Ribbon Fund","res_partner_category_statutory_board"
"l10n_sg_statutory_board_res_partner_yrs","Yellow Ribbon Singapore","res_partner_category_statutory_board"
