id,name,tech_tag
crm_iap_lead_technology_1,1&1 Hosting,1_and_1_hosting
crm_iap_lead_technology_2,3d Cart,3d_cart
crm_iap_lead_technology_3,Acquia,acquia
crm_iap_lead_technology_4,Acquisio,acquisio
crm_iap_lead_technology_5,Act On,act_on
crm_iap_lead_technology_6,Action Network,action_network
crm_iap_lead_technology_7,Active Demand,active_demand
crm_iap_lead_technology_8,Activecampaign,activecampaign
crm_iap_lead_technology_9,Add To Any,add_to_any
crm_iap_lead_technology_10,Adform Advertiser,adform_advertiser
crm_iap_lead_technology_11,Adobe Business Catalyst,adobe_business_catalyst
crm_iap_lead_technology_12,Adobe Connect,adobe_connect
crm_iap_lead_technology_13,Adobe Dynamic Tag Management,adobe_dynamic_tag_management
crm_iap_lead_technology_14,Adobe Experience Manager,adobe_experience_manager
crm_iap_lead_technology_15,AdRoll,adroll
crm_iap_lead_technology_16,Airbrake,airbrake
crm_iap_lead_technology_17,Akamai,akamai
crm_iap_lead_technology_18,Akamai DNS,akamai_dns
crm_iap_lead_technology_19,Alexa,alexa
crm_iap_lead_technology_20,Altocloud,altocloud
crm_iap_lead_technology_21,Amazon Associates,amazon_associates
crm_iap_lead_technology_22,Amazon Payments,amazon_payments
crm_iap_lead_technology_23,Amazon S3,amazon_s3
crm_iap_lead_technology_24,Amazon Simple Email Service,amazon_ses
crm_iap_lead_technology_25,Amazon Web Services,aws_ec2
crm_iap_lead_technology_26,amCharts,amcharts
crm_iap_lead_technology_27,Amplitude,amplitude
crm_iap_lead_technology_28,Android,android
crm_iap_lead_technology_29,Apache,apache
crm_iap_lead_technology_30,App Nexus,app_nexus
crm_iap_lead_technology_31,Appboy,appboy
crm_iap_lead_technology_32,Appcues,appcues
crm_iap_lead_technology_33,AppDynamics,appdynamics
crm_iap_lead_technology_34,Apteligent,apteligent
crm_iap_lead_technology_35,ASP.Net,asp_net
crm_iap_lead_technology_36,Attribution,attribution
crm_iap_lead_technology_37,Authorizenet,authorizenet
crm_iap_lead_technology_38,Autopilot,autopilot
crm_iap_lead_technology_39,Aweber,aweber
crm_iap_lead_technology_40,Bazaarvoice,bazaarvoice
crm_iap_lead_technology_41,Benchmarkemail,benchmarkemail
crm_iap_lead_technology_42,Big Cartel,big_cartel
crm_iap_lead_technology_43,Bigcommerce,bigcommerce
crm_iap_lead_technology_44,Bing Ads,bing_ads
crm_iap_lead_technology_45,Bing Advertiser,bing_advertiser
crm_iap_lead_technology_46,Bing Maps,bing_maps
crm_iap_lead_technology_47,Bloomreach,bloomreach
crm_iap_lead_technology_48,Bluehost Hosting,bluehost_hosting
crm_iap_lead_technology_49,Braintree,braintree
crm_iap_lead_technology_50,Branch,branch
crm_iap_lead_technology_51,Brightcove,brightcove
crm_iap_lead_technology_52,Bronto,bronto
crm_iap_lead_technology_53,Bug Herd,bug_herd
crm_iap_lead_technology_54,Bugsnag,bugsnag
crm_iap_lead_technology_55,C3 Metrics,c3_metrics
crm_iap_lead_technology_56,Calq,calq
crm_iap_lead_technology_57,Campaignmonitor,campaignmonitor
crm_iap_lead_technology_58,Castle,castle
crm_iap_lead_technology_59,CentOS,centos
crm_iap_lead_technology_60,Chargify,chargify
crm_iap_lead_technology_61,Chart Beat,chart_beat
crm_iap_lead_technology_62,Chartio,chartio
crm_iap_lead_technology_63,Chatlio,chatlio
crm_iap_lead_technology_64,Chownow,chownow
crm_iap_lead_technology_65,ClickFunnels,clickfunnels
crm_iap_lead_technology_66,Clicktale,clicktale
crm_iap_lead_technology_67,Clicky,clicky
crm_iap_lead_technology_68,Cloud Flare,cloud_flare
crm_iap_lead_technology_69,Cloudinary,cloudinary
crm_iap_lead_technology_70,Commerce Sciences,commerce_sciences
crm_iap_lead_technology_71,Constant Contact,constant_contact
crm_iap_lead_technology_72,Contently,contently
crm_iap_lead_technology_73,Convert Kit,convert_kit
crm_iap_lead_technology_74,Convertro,convertro
crm_iap_lead_technology_75,Crazy Egg,crazy_egg
crm_iap_lead_technology_76,Criteo,criteo
crm_iap_lead_technology_77,Crowdskout,crowdskout
crm_iap_lead_technology_78,Customer.io,customer_io
crm_iap_lead_technology_79,Dailymotion,dailymotion
crm_iap_lead_technology_80,Debian,debian
crm_iap_lead_technology_81,Demandbase,demandbase
crm_iap_lead_technology_82,Demandware,demandware
crm_iap_lead_technology_83,Digital Ocean,digital_ocean
crm_iap_lead_technology_84,Disqus,disqus
crm_iap_lead_technology_85,Django,django
crm_iap_lead_technology_86,DNS Made Easy,dns_made_easy
crm_iap_lead_technology_87,DoubleClick Ads,double_click
crm_iap_lead_technology_88,DoubleClick Advertiser,double_click_advertiser
crm_iap_lead_technology_89,DreamHost Hosting,dreamhost_hosting
crm_iap_lead_technology_90,Drift,drift
crm_iap_lead_technology_91,Drip,drip
crm_iap_lead_technology_92,Drupal,drupal
crm_iap_lead_technology_93,Dwolla,dwolla
crm_iap_lead_technology_94,Dyn DNS,dyn_dns
crm_iap_lead_technology_95,Dynamic Yield,dynamic_yield
crm_iap_lead_technology_96,Ecwid,ecwid
crm_iap_lead_technology_97,ElasticEmail,elasticemail
crm_iap_lead_technology_98,Elevio,elevio
crm_iap_lead_technology_99,Eloqua,eloqua
crm_iap_lead_technology_100,Emma,emma
crm_iap_lead_technology_101,Engagio,engagio
crm_iap_lead_technology_102,Errorception,errorception
crm_iap_lead_technology_103,Express,express
crm_iap_lead_technology_104,Facebook Advertiser,facebook_advertiser
crm_iap_lead_technology_105,Facebook Beacon,facebook_beacon
crm_iap_lead_technology_106,Facebook Comments,facebook_comments
crm_iap_lead_technology_107,Facebook Connect,facebook_connect
crm_iap_lead_technology_108,Facebook Like Button,facebook_like_button
crm_iap_lead_technology_109,Facebook Social Plugins,facebook_social_plugins
crm_iap_lead_technology_110,Fedora,fedora
crm_iap_lead_technology_111,Flowplayer,flowplayer
crm_iap_lead_technology_112,Formstack,formstack
crm_iap_lead_technology_113,FreeBSD,freebsd
crm_iap_lead_technology_114,Freshdesk,freshdesk
crm_iap_lead_technology_115,Fullcontact,fullcontact
crm_iap_lead_technology_116,Fullstory,fullstory
crm_iap_lead_technology_117,FusionCharts,fusioncharts
crm_iap_lead_technology_118,Gauges,gauges
crm_iap_lead_technology_119,Get Response,get_response
crm_iap_lead_technology_120,Get Satisfaction,get_satisfaction
crm_iap_lead_technology_121,Go Squared,go_squared
crm_iap_lead_technology_122,Gocardless,gocardless
crm_iap_lead_technology_123,GoDaddy Hosting,godaddy_hosting
crm_iap_lead_technology_124,Godaddy Nameserver,godaddy_nameserver
crm_iap_lead_technology_125,Google Adsense,google_adsense
crm_iap_lead_technology_126,Google Adwords,google_adwords
crm_iap_lead_technology_127,Google Affiliate Network,google_affiliate_network
crm_iap_lead_technology_128,Google Analytics,google_analytics
crm_iap_lead_technology_129,Google Apps,google_apps
crm_iap_lead_technology_130,Google Charts,google_charts
crm_iap_lead_technology_131,Google Cloud,google_cloud
crm_iap_lead_technology_132,Google Forms,google_forms
crm_iap_lead_technology_133,Google Maps,google_maps
crm_iap_lead_technology_134,Google Tag Manager,google_tag_manager
crm_iap_lead_technology_135,Google Website Optimizer,google_website_optimizer
crm_iap_lead_technology_136,Google Widgets,google_widgets
crm_iap_lead_technology_137,GraphIQ,graphiq
crm_iap_lead_technology_138,Gravity Forms,gravity_forms
crm_iap_lead_technology_139,Greenhouse,greenhouse
crm_iap_lead_technology_140,Heap,heap
crm_iap_lead_technology_141,Hello Bar,hello_bar
crm_iap_lead_technology_142,Help Scout,help_scout
crm_iap_lead_technology_143,Heroku,heroku
crm_iap_lead_technology_144,Highcharts,highcharts
crm_iap_lead_technology_145,Hotjar,hotjar
