"id","name","country_id","name@he_IL"
"tax_group_vat_16","VAT 16%","base.il","מע""מ 16%"
"tax_group_vat_18","VAT 18%","base.il","מע""מ 18%"
"tax_group_vat_exempt","VAT exempt sale","base.il",""
"tax_group_vat_exempt_purchase","VAT exempt purchase","base.il","מע""מ תשומות פטורות"
