"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","fiscal_position_ids"
"account_tax_us_sale_0","0%","Tax 0%","0%","0","sale","account_tax_group_us_0","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_2_9","2.9%","Tax 2.9%","2.9%","2.9","sale","account_tax_group_us_2_9","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_4","4%","Tax 4%","4%","4","sale","account_tax_group_us_4","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_4_2","4.2%","Tax 4.2%","4.2%","4.2","sale","account_tax_group_us_4_2","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_4_225","4.225%","Tax 4.225%","4.225%","4.225","sale","account_tax_group_us_4_225","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_4_5","4.5%","Tax 4.5%","4.5%","4.5","sale","account_tax_group_us_4_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_4_75","4.75%","Tax 4.75%","4.75%","4.75","sale","account_tax_group_us_4_75","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_4_875","4.875%","Tax 4.875%","4.875%","4.875","sale","account_tax_group_us_4_875","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_5","5%","Tax 5%","5%","5","sale","account_tax_group_us_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_5_3","5.3%","Tax 5.3%","5.3%","5.3","sale","account_tax_group_us_5_3","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_5_5","5.5%","Tax 5.5%","5.5%","5.5","sale","account_tax_group_us_5_5","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_5_6","5.6%","Tax 5.6%","5.6%","5.6","sale","account_tax_group_us_5_6","invoice","100","base","","account_fiscal_position_us_domestic"
"","","","","","","","invoice","100","tax","account_account_us_tax_received",""
"","","","","","","","refund","100","base","",""
"","","","","","","","refund","100","tax","account_account_us_tax_received",""
"account_tax_us_sale_5_75","5.75%","Tax 5.75%","5.75%","5.75","sale","account_tax_group_us_5_75","invoice","100","base","","account_fiscal_position_us_domestic"
