"id","country_id:id","name","code"
state_vn_VN-44,base.vn,An Giang,VN-44
state_vn_VN-57,base.vn,Bình Dương,VN-57
state_vn_VN-31,base.vn,Bình Định,VN-31
state_vn_VN-54,base.vn,Bắc Giang,VN-54
state_vn_VN-53,base.vn,Bắc Kạn,VN-53
state_vn_VN-55,base.vn,Bạc Liêu,VN-55
state_vn_VN-56,base.vn,Bắc Ninh,VN-56
state_vn_VN-58,base.vn,Bình Phước,VN-58
state_vn_VN-43,base.vn,Bà Rịa - Vũng Tàu,VN-43
state_vn_VN-40,base.vn,Bình Thuận,VN-40
state_vn_VN-50,base.vn,Bến Tre,VN-50
state_vn_VN-04,base.vn,Cao Bằng,VN-04
state_vn_VN-59,base.vn,Cà Mau,VN-59
state_vn_VN-CT,base.vn,TP Cần Thơ,VN-CT
state_vn_VN-71,base.vn,Điện Biên,VN-71
state_vn_VN-33,base.vn,Đắk Lắk,VN-33
state_vn_VN-DN,base.vn,TP Đà Nẵng,VN-DN
state_vn_VN-39,base.vn,Đồng Nai,VN-39
state_vn_VN-72,base.vn,Đắk Nông,VN-72
state_vn_VN-45,base.vn,Đồng Tháp,VN-45
state_vn_VN-30,base.vn,Gia Lai,VN-30
state_vn_VN-14,base.vn,Hòa Bình,VN-14
state_vn_VN-SG,base.vn,TP Hồ Chí Minh,VN-SG
state_vn_VN-61,base.vn,Hải Dương,VN-61
state_vn_VN-73,base.vn,Hậu Giang,VN-73
state_vn_VN-03,base.vn,Hà Giang,VN-03
state_vn_VN-HN,base.vn,Hà Nội,VN-HN
state_vn_VN-63,base.vn,Hà Nam,VN-63
state_vn_VN-HP,base.vn,TP Hải Phòng,VN-HP
state_vn_VN-23,base.vn,Hà Tĩnh,VN-23
state_vn_VN-66,base.vn,Hưng Yên,VN-66
state_vn_VN-47,base.vn,Kiên Giang,VN-47
state_vn_VN-34,base.vn,Khánh Hòa,VN-34
state_vn_VN-28,base.vn,Kon Tum,VN-28
state_vn_VN-41,base.vn,Long An,VN-41
state_vn_VN-02,base.vn,Lào Cai,VN-02
state_vn_VN-01,base.vn,Lai Châu,VN-01
state_vn_VN-35,base.vn,Lâm Đồng,VN-35
state_vn_VN-09,base.vn,Lạng Sơn,VN-09
state_vn_VN-22,base.vn,Nghệ An,VN-22
state_vn_VN-18,base.vn,Ninh Bình,VN-18
state_vn_VN-67,base.vn,Nam Định,VN-67
state_vn_VN-36,base.vn,Ninh Thuận,VN-36
state_vn_VN-68,base.vn,Phú Thọ,VN-68
state_vn_VN-32,base.vn,Phú Yên,VN-32
state_vn_VN-24,base.vn,Quảng Bình,VN-24
state_vn_VN-13,base.vn,Quảng Ninh,VN-13
state_vn_VN-27,base.vn,Quảng Nam,VN-27
state_vn_VN-29,base.vn,Quảng Ngãi,VN-29
state_vn_VN-25,base.vn,Quảng Trị,VN-25
state_vn_VN-05,base.vn,Sơn La,VN-05
state_vn_VN-52,base.vn,Sóc Trăng,VN-52
state_vn_VN-20,base.vn,Thái Bình,VN-20
state_vn_VN-46,base.vn,Tiền Giang,VN-46
state_vn_VN-21,base.vn,Thanh Hóa,VN-21
state_vn_VN-69,base.vn,Thái Nguyên,VN-69
state_vn_VN-37,base.vn,Tây Ninh,VN-37
state_vn_VN-07,base.vn,Tuyên Quang,VN-07
state_vn_VN-26,base.vn,Thừa Thiên - Huế,VN-26
state_vn_VN-51,base.vn,Trà Vinh,VN-51
state_vn_VN-49,base.vn,Vĩnh Long,VN-49
state_vn_VN-70,base.vn,Vĩnh Phúc,VN-70
state_vn_VN-06,base.vn,Yên Bái,VN-06
