"id","name","country_id:id","name@ar"
"tax_group_vat_5","VAT 5%","base.om","ضريبة القيمة المضافة 5%"
"tax_group_vat_0","VAT 0%","base.om","ضريبة القيمة المضافة 0%"
"tax_group_vat_exempt","VAT Exempt","base.om","معفاة من ضريبة القيمة المضافة"
"tax_group_vat_rc_5","Reverse Charge VAT 5%","base.om","الضريبة العكسية 5%"
