"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period"
"asset_buildings","ec120102","ec12011201","ec51040101","Buildings","20","12"
"asset_facilities","ec120104","ec12011203","ec51040103","Facilities","10","12"
"asset_furniture_and_fixtures","ec120105","ec12011204","ec51040104","Furniture and fixtures","10","12"
"asset_machinery_and_equipment","ec120106","ec12011205","ec51040105","Machinery and equipment","10","12"
"asset_vessels_aircraft_barges_and_the_like","ec120107","ec12011206","ec51040106","Vessels, aircraft, barges and the like","15","12"
"asset_computer_equipment","ec120108","ec12011207","ec51040107","Computer equipment","5","12"
"asset_vehicles_transport_equipment_and_mobile_road_equipment","ec120109","ec12011208","ec51040108","Vehicles, transport equipment and mobile road equipment","5","12"
"asset_other_property_plant_and_equipment","ec120110","ec12011209","ec51040109","Other property, plant and equipment","8","12"
"asset_spare_parts_and_tools","ec120111","ec12011210","ec51040110","Spare parts and tools","3","12"
