"id","name","country_id","name@fr"
"tax_group_fix","Taxes","base.ca",""
"tax_group_gst","GST","base.ca","TPS"
"tax_group_pst_6","PST 6%","base.ca","TVP 6%"
"tax_group_pst_7","PST 7%","base.ca","TVP 7%"
"tax_group_qst","QST","base.ca","TVQ"
"tax_group_hst_13","HST 13%","base.ca","TVH 13%"
"tax_group_hst_15","HST 15%","base.ca","TVH 15%"
