id,name,applicability
tag_hu_01,ÁFA alap,taxes
tag_hu_02,Adóalap - Fizetendő ÁFA Export,taxes
tag_hu_03,Adóalap - Fizetendő ÁFA EU,taxes
tag_hu_04,Adóalap - Fizetendő ÁFA tárgyi adómentes,taxes
tag_hu_05,Adóalap - Fizetendő ÁFA alanyi adómentes,taxes
tag_hu_06,Adóalap - Fizetendő ÁFA 5%,taxes
tag_hu_07,Adóalap - Fizetendő ÁFA 18%,taxes
tag_hu_08,Adóalap - Fizetendő ÁFA 27%,taxes
tag_hu_09,Adóalap - Visszaigényelhető ÁFA EU,taxes
tag_hu_10,Adóalap – Fordított ÁFA,taxes
tag_hu_11,Adóalap – Import ÁFA,taxes
tag_hu_12,Adóalap – Fordított ÁFA,taxes
tag_hu_13,Adóalap - Visszaigényelhető ÁFA alanyi adómentes,taxes
tag_hu_14,Adóalap - Visszaigényelhető ÁFA tárgyi adómentes,taxes
tag_hu_15,Adóalap - Visszaigényelhető ÁFA 5%,taxes
tag_hu_16,Adóalap - Visszaigényelhető ÁFA 18%,taxes
tag_hu_17,Adóalap - Visszaigényelhető ÁFA 27%,taxes
tag_hu_18,ÁFA fizetndő / visszaigényelhető,taxes
tag_hu_19,Fizetendő ÁFA 5%,taxes
tag_hu_20,Fizetendő ÁFA 18%,taxes
tag_hu_21,Fizetendő ÁFA 27%,taxes
tag_hu_22,Visszaigényelhető ÁFA 5%,taxes
tag_hu_23,Visszaigényelhető ÁFA 18%,taxes
tag_hu_24,Visszaigényelhető ÁFA 27%,taxes
