"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"l10n_ng_fp_domestic","1","Domestic","1","1","base.ng","","","","",""
"l10n_ng_fp_import","2","Import","1","","","","","","",""
"","","","","","","","l10n_ng_vat_in_7_5","l10n_ng_vat_in_7_5_import","",""
