"id","name","country_id","name@ar_001"
"jo_tax_group_16","Tax 16%","base.jo","10% ضريبة"
"jo_tax_group_10","Tax 10%","base.jo","10% ضريبة"
"jo_tax_group_4","Tax 4%","base.jo","4% ضريبة"
"jo_tax_group_0","Tax 0%","base.jo","0% ضريبة"
"jo_tax_group_exempt","Tax Exempt","base.jo","إعفاء ضريبي"
