"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@ar_001","fiscal_position_ids","original_tax_ids","active","include_base_amount","price_include_override"
"jo_standard_purchase_16","16%","purchase","16.0","percent","","16%","jo_tax_group_16","base","invoice","2a_b","","","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","2a_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","2a_b","","","","","","",""
"","","","","","","","","tax","refund","2a_t","jo_account_200901","","","","","",""
"jo_standard_purchase_10","10%","purchase","10.0","percent","","10%","jo_tax_group_10","base","invoice","2b_b","","","account_fiscal_position_jordan","","False","False",""
"","","","","","","","","tax","invoice","2b_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","2b_b","","","","","","",""
"","","","","","","","","tax","refund","2b_t","jo_account_200901","","","","","",""
"jo_standard_purchase_4","4%","purchase","4.0","percent","","4%","jo_tax_group_4","base","invoice","2c_b","","","account_fiscal_position_jordan","","False","False",""
"","","","","","","","","tax","invoice","2c_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","2c_b","","","","","","",""
"","","","","","","","","tax","refund","2c_t","jo_account_200901","","","","","",""
"jo_standard_purchase_other","16% O","purchase","16.0","percent","Others","16%","jo_tax_group_16","base","invoice","2d_b","","أخرى","account_fiscal_position_jordan","","True","False",""
"","","","","","","","","tax","invoice","2d_t","jo_account_200901","","","","","",""
"","","","","","","","","base","refund","2d_b","","","","","","",""
"","","","","","","","","tax","refund","2d_t","jo_account_200901","","","","","",""
"jo_standard_purchase_0","0%","purchase","0.0","percent","","0%","jo_tax_group_0","base","invoice","2e_b","","","account_fiscal_position_jordan","","False","False",""
"","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","base","refund","2e_b","","","","","","",""
"","","","","","","","","tax","refund","","","","","","","",""
