"id","name","description"
"obligation_type_1","O-47","Régimen Simple de Tributación – SIMPLE"
"obligation_type_5","R-99-PN","No aplica - Otros"
"obligation_type_12","O-13","Gran contribuyente"
"obligation_type_14","O-15","Autorretenedor"
"obligation_type_22","O-23","Agente de retención en el impuesto sobre las ventas"
