id,name,l10n_co_edi_code,state_id:id,country_id:id
city_co_01,"MEDELLÍN",5001,base.state_co_01,base.co
city_co_02,"ABEJORRAL",5002,base.state_co_01,base.co
city_co_03,"ABRIAQUÍ",5004,base.state_co_01,base.co
city_co_04,"ALEJANDRÍA",5021,base.state_co_01,base.co
city_co_05,"AMAGÁ",5030,base.state_co_01,base.co
city_co_06,"AMALFI",5031,base.state_co_01,base.co
city_co_07,"ANDES",5034,base.state_co_01,base.co
city_co_08,"ANGELÓPOLIS",5036,base.state_co_01,base.co
city_co_09,"ANGOSTURA",5038,base.state_co_01,base.co
city_co_10,"ANORÍ",5040,base.state_co_01,base.co
city_co_11,"SANTA FÉ DE ANTIOQUIA",5042,base.state_co_01,base.co
city_co_12,"ANZÁ",5044,base.state_co_01,base.co
city_co_13,"APARTADÓ",5045,base.state_co_01,base.co
city_co_14,"ARBOLETES",5051,base.state_co_01,base.co
city_co_15,"ARGELIA",5055,base.state_co_01,base.co
city_co_16,"ARMENIA",5059,base.state_co_01,base.co
city_co_17,"BARBOSA",5079,base.state_co_01,base.co
city_co_18,"BELMIRA",5086,base.state_co_01,base.co
city_co_19,"BELLO",5088,base.state_co_01,base.co
city_co_20,"BETANIA",5091,base.state_co_01,base.co
city_co_21,"BETULIA",5093,base.state_co_01,base.co
city_co_22,"CIUDAD BOLÍVAR",5101,base.state_co_01,base.co
city_co_23,"BRICEÑO",5107,base.state_co_01,base.co
city_co_24,"BURITICÁ",5113,base.state_co_01,base.co
city_co_25,"CÁCERES",5120,base.state_co_01,base.co
city_co_26,"CAICEDO",5125,base.state_co_01,base.co
city_co_27,"CALDAS",5129,base.state_co_01,base.co
city_co_28,"CAMPAMENTO",5134,base.state_co_01,base.co
city_co_29,"CAÑASGORDAS",5138,base.state_co_01,base.co
city_co_30,"CARACOLÍ",5142,base.state_co_01,base.co
city_co_31,"CARAMANTA",5145,base.state_co_01,base.co
city_co_32,"CAREPA",5147,base.state_co_01,base.co
city_co_33,"EL CARMEN DE VIBORAL",5148,base.state_co_01,base.co
city_co_34,"CAROLINA",5150,base.state_co_01,base.co
city_co_35,"CAUCASIA",5154,base.state_co_01,base.co
city_co_36,"CHIGORODÓ",5172,base.state_co_01,base.co
city_co_37,"CISNEROS",5190,base.state_co_01,base.co
city_co_38,"COCORNÁ",5197,base.state_co_01,base.co
city_co_39,"CONCEPCIÓN",5206,base.state_co_01,base.co
city_co_40,"CONCORDIA",5209,base.state_co_01,base.co
city_co_41,"COPACABANA",5212,base.state_co_01,base.co
city_co_42,"DABEIBA",5234,base.state_co_01,base.co
