"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period"
"pk_asset_technology","l10n_pk_1111005","l10n_pk_1111005","l10n_pk_4221047","Technology","3","12"
"pk_asset_construction","l10n_pk_1111007","l10n_pk_1111007","l10n_pk_4221048","Construction","30","12"
"pk_asset_installation","l10n_pk_1111008","l10n_pk_1111008","l10n_pk_4221049","Installations","10","12"
"pk_asset_machines_tools","l10n_pk_1111003","l10n_pk_1111003","l10n_pk_4221050","Machines & Tools","5","12"
"pk_asset_other_property","l10n_pk_1111004","l10n_pk_1111004","l10n_pk_4221051","Other Property","5","12"
"pk_asset_furniture_material","l10n_pk_1111002","l10n_pk_1111002","l10n_pk_4221052","Furniture & Material","5","12"
"pk_asset_vehicle","l10n_pk_1111009","l10n_pk_1111009","l10n_pk_4221053","Vehicle","5","12"
"pk_asset_vehicle_accessories","l10n_pk_1111010","l10n_pk_1111010","l10n_pk_4221054","Vehicle Accessories","3","12"
