"id","name","country_id","name@ar_001"
"iq_tax_group_16","16% Tax","base.iq","10% ضريبة"
"iq_tax_group_10","10% Tax","base.iq","10% ضريبة"
"iq_tax_group_4","4% Tax","base.iq","4% ضريبة"
"iq_tax_group_0","0% Tax","base.iq","0% ضريبة"
"iq_tax_group_sales","Sales Tax","base.iq","ضريبة المبيعات"
"iq_tax_group_withholding","Withholding Tax","base.iq","ضريبة الاستقطاع"
