"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@ja_JP"
"fiscal_position_tax_inclusive_template","Tax included","tax_in_e_10","tax_in_i_10","内税"
"","","tax_out_e_10","tax_out_i_10",""
"","","tax_in_e","tax_in_i",""
"","","tax_out_e","tax_out_i",""
"fiscal_position_tax_exclusive_template","Tax excluded","tax_in_i_10","tax_in_e_10","外税"
"","","tax_out_i_10","tax_out_e_10",""
"","","tax_in_i","tax_in_e",""
"","","tax_out_i","tax_out_e",""
"fiscal_position_tax_exempt_template","Overseas business partners","tax_in_e_10","tax_in_x","海外取引先"
"","","tax_in_i_10","tax_in_x",""
"","","tax_out_e_10","tax_out_im",""
"","","tax_out_i_10","tax_out_im",""
"","","tax_in_e","tax_in_x",""
"","","tax_in_i","tax_in_x",""
"","","tax_out_e","tax_out_im",""
"","","tax_out_i","tax_out_im",""
"fiscal_position_tax_reduction_template","Reduced tax rate","tax_in_e_10","tax_in_e","軽減税率"
"","","tax_in_i_10","tax_in_i",""
"","","tax_out_e_10","tax_out_e",""
"","","tax_out_i_10","tax_out_i",""
