"id","name","country_id","name@sl"
"tax_group_22","22% VAT","base.si","22% DDV"
"tax_group_95","9,5% VAT","base.si","9,5% DDV"
"tax_group_5","5% VAT","base.si","5% DDV"
"tax_group_0","0% VAT","base.si","0% DDV"
