"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids"
"lu_2011_tax_AB-EC-0","171","","0%","0% EX EC G","0.0","percent","purchase","tax_group_0","","base","invoice","195","","","account_fiscal_position_template_LU_EC","lu_2011_tax_AB-PA-0"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","195","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AB-EC-14","105","","14%","14% EC G","14.0","percent","purchase","tax_group_14","","base","invoice","723","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AB-PA-14"
"","","","","","","","","","","tax","invoice","724","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","723","","","",""
"","","","","","","","","","","tax","refund","724","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-EC-17","111","","17%","17% EC G","17.0","percent","purchase","tax_group_17","","base","invoice","721","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AB-PA-17"
"","","","","","","","","","","tax","invoice","722","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","721","","","",""
"","","","","","","","","","","tax","refund","722","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-EC-16","112","","16%","16% EC G","16.0","percent","purchase","tax_group_16","False","base","invoice","921","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AB-PA-16"
"","","","","","","","","","","tax","invoice","922","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","921","","","",""
"","","","","","","","","","","tax","refund","922","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-EC-13","113","","13%","13% EC G","13.0","percent","purchase","tax_group_13","False","base","invoice","923","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AB-PA-13"
"","","","","","","","","","","tax","invoice","924","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","923","","","",""
"","","","","","","","","","","tax","refund","924","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-EC-7","114","","7%","7% EC G","7.0","percent","purchase","tax_group_7","False","base","invoice","925","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AB-PA-7"
"","","","","","","","","","","tax","invoice","926","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","925","","","",""
"","","","","","","","","","","tax","refund","926","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2011_tax_AB-EC-3","114","","3%","3% EC G","3.0","percent","purchase","tax_group_3","","base","invoice","059","","","account_fiscal_position_template_LU_EC","lu_2011_tax_AB-PA-3"
"","","","","","","","","","","tax","invoice","068","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","059","","","",""
"","","","","","","","","","","tax","refund","068","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-EC-8","120","","8%","8% EC G","8.0","percent","purchase","tax_group_8","","base","invoice","725","","","account_fiscal_position_template_LU_EC","lu_2015_tax_AB-PA-8"
"","","","","","","","","","","tax","invoice","726","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","725","","","",""
"","","","","","","","","","","tax","refund","726","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","refund","460","","lu_2020_account_421611","",""
"lu_2015_tax_AB-ECP-0","123","","0%","0% EX EC(P) G","0.0","percent","purchase","tax_group_0","","base","invoice","196","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","196","","","",""
"","","","","","","","","","","tax","refund","","","","",""
"lu_2015_tax_AB-ECP-14","127","","14%","14% EC(P) G","14.0","percent","purchase","tax_group_14","","base","invoice","733","","","account_fiscal_position_template_LU_EC",""
"","","","","","","","","","","tax","invoice","734","-100","lu_2020_account_461411","",""
"","","","","","","","","","","tax","invoice","460","","lu_2020_account_421611","",""
"","","","","","","","","","","base","refund","733","","","",""
