"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"l10n_pk_1111001","Building","1111001","account.data_account_type_fixed_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1111002","Furniture and Fixture","1111002","account.data_account_type_fixed_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1111003","Tools and Equipment","1111003","account.data_account_type_fixed_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1111004","Plant and Machinery","1111004","account.data_account_type_fixed_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1112001","ERP System","1112001","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1113000","Investment Property","1113000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1114000","Long Term Investments","1114000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1115000","Long Term Deposits","1115000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1116000","Biological Assets","1116000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1117000","Investments in Associates","1117000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1118000","Investments in Jointly Controlled Entities","1118000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1119000","Other Financial Assets","1119000","account.data_account_type_non_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1121001","Receivable from Customers","1121001","account.data_account_type_receivable","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_1122001","Advances to Suppliers","1122001","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1122002","Withholding Tax- Advance","1122002","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1122003","Loan to Employees","1122003","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1123001","Security Deposits","1123001","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1123002","Prepaid Rent","1123002","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1123003","Income Tax Refundable","1123003","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1123004","Sales Tax Refundable","1123004","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1124000","Other Current Assets","1124000","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1125001","Stock in Hand","1125001","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1125002","Work in Process","1125002","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_1125003","Finished Goods","1125003","account.data_account_type_current_assets","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2111000","Share Capital","2111000","account.data_account_type_equity","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2111002","Reserves","2112000","account.data_account_type_equity","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2113000","Revaluation Surplus on Property and Equipment","2113000","account.data_account_type_equity","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2211001","Long term Loan","2211001","account.data_account_type_non_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2211002","Liabilities Against Assets Subject to Finance Lease","2211002","account.data_account_type_non_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2212000","Deferred Liabilities","2212000","account.data_account_type_non_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2221001","Payable to Suppliers","2221001","account.data_account_type_payable","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2221002","Accrued Expenses","2221002","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2221003","Salaries Payable","2221003","account.data_account_type_payable","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2221004","Mark-up accrued","2221004","account.data_account_type_payable","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2221005","Sales Tax Payable","2221005","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2221006","Withholding Tax Payable","2221006","account.data_account_type_payable","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2221007","Payable to Canteen","2221007","account.data_account_type_payable","l10n_pk.l10n_pk_chart_template","","True",
"l10n_pk_2222001","Current Portion of Long Term Liabilities","2222001","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2223001","Provision for Employee Benefit","2223001","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2223002","Other Provision","2223002","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2224000","Unpaid Dividend","2224000","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2225000","Unclaimed Dividend","2225000","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_2226000","Suspense Account","2226000","account.data_account_type_current_liabilities","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_3111001","Sales Income","3111001","account.data_account_type_revenue","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_3112001","Bank Profit","3112001","account.data_account_type_revenue","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_3112002","Employee Fine","3112002","account.data_account_type_revenue","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_3112003","Misc Income","3112003","account.data_account_type_other_income","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4111001","Purchases","4111001","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4111002","Carriage Inwards","4111002","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4111003","Cost of Goods Sold","4111003","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4211001","Salary and Wages","4211001","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4211002","Other Staff Benefits","4211002","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221001","Rent Rates and Taxes","4221001","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221002","Traveling and Conveyance","4221002","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221003","Vehicle Running Expenses","4221003","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221004","Telephone and Internet","4221004","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221005","Electricity Fitting","4221005","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221006","Printing and Stationery","4221006","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221007","Fee and Subscription","4221007","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221008","Legal and Professional Charges","4221008","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221009","Office Consumables and Supplies","4221009","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221010","Entertainment Expenses","4221010","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221011","Repair and maintenance","4221011","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221012","Postage Expenses","4221012","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221013","Canteen Expenses","4221013","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221014","Bad Debts Written Off","4221014","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221015","Charity and Donations","4221015","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221016","Insurance","4221016","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221017","Misc Expenses","4221017","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221018","Auditor's Remuneration","4221018","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221019","Depreciation Expenses","4221019","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221020","Electricity Expenses","4221020","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4221021","Suspense Account","4221021","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4311001","Advertisement and Marketing","4311001","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4311002","Commission on Sales","4311002","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4311003","Freight Outward","4311003","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4311004","Sample Expense","4311004","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4411001","Bank Charges and Commission","4411001","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4411002","Foreign Exchange Difference","4411002","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
"l10n_pk_4511000","Income Tax Expense","4511000","account.data_account_type_expenses","l10n_pk.l10n_pk_chart_template","","False",
