"id","name","country_id","name@ru"
"tax_group_vat_exempt","VAT Exempt","base.kz","НДС не облагается"
"tax_group_vat_0","VAT 0%","base.kz","НДС 0%"
"tax_group_vat_12","VAT 12%","base.kz","НДС 12%"
"tax_group_vat_20","VAT 20%","base.kz","НДС 20%"
