"id","sequence","name","auto_apply","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@ru"
"l10n_kz_fiscal_position_template_national","1","National","1","base.kz","","","","Национальные"
"l10n_kz_fiscal_position_template_eeu","2","EEU","1","","base.eurasian_economic_union","l10n_kz_tax_vat_12_purchase","l10n_kz_tax_vat_12_purchase_eeu",""
"","","","","","","l10n_kz_tax_vat_12_purchase_included","l10n_kz_tax_vat_12_purchase_included_eeu",""
"","","","","","","l10n_kz_tax_vat_20_purchase","l10n_kz_tax_vat_20_purchase_eeu",""
"","","","","","","l10n_kz_tax_vat_20_purchase_included","l10n_kz_tax_vat_20_purchase_included_eeu",""
"","","","","","","l10n_kz_tax_vat_12_sale","l10n_kz_tax_vat_12_sale_included_eeu",""
"","","","","","","l10n_kz_tax_vat_12_sale_included","l10n_kz_tax_vat_12_sale_included_eeu",""
"","","","","","","l10n_kz_tax_vat_20_sale","l10n_kz_tax_vat_20_sale_included_eeu",""
"","","","","","","l10n_kz_tax_vat_20_sale_included","l10n_kz_tax_vat_20_sale_included_eeu",""
"l10n_kz_fiscal_position_template_international","3","International","1","","","l10n_kz_tax_vat_12_purchase","l10n_kz_tax_vat_12_purchase_import","Международные"
"","","","","","","l10n_kz_tax_vat_12_purchase_included","l10n_kz_tax_vat_12_purchase_included_import",""
"","","","","","","l10n_kz_tax_vat_20_purchase","l10n_kz_tax_vat_20_purchase_import",""
"","","","","","","l10n_kz_tax_vat_20_purchase_included","l10n_kz_tax_vat_20_purchase_included_import",""
"","","","","","","l10n_kz_tax_vat_12_sale","l10n_kz_tax_vat_12_sale_included_export",""
"","","","","","","l10n_kz_tax_vat_12_sale_included","l10n_kz_tax_vat_12_sale_included_export",""
"","","","","","","l10n_kz_tax_vat_20_sale","l10n_kz_tax_vat_20_sale_included_export",""
"","","","","","","l10n_kz_tax_vat_20_sale_included","l10n_kz_tax_vat_20_sale_included_export",""
