"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@fr","name@fr","fiscal_position_ids","original_tax_ids"
"tva_sale_16","16% G","16% merchandises","True","","16.0","percent","sale","tax_group_16","base","invoice","CD_1a","","","16% Marchandises","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_1b","pcg_4431","","","","",""
"","","","","","","","","","base","refund","CD_1a","","","","","",""
"","","","","","","","","","tax","refund","CD_1b","pcg_4431","","","","",""
"tva_sale_16_services","16% S","16% Services","True","","16.0","percent","sale","tax_group_16","base","invoice","CD_2a","","","","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_2b","pcg_4431","","","","",""
"","","","","","","","","","base","refund","CD_2a","","","","","",""
"","","","","","","","","","tax","refund","CD_2b","pcg_4431","","","","",""
"tva_sale_16_pm","16% PM","16% Public Markets","False","","16.0","percent","sale","tax_group_16","base","invoice","CD_5a","","","16% Marchés publics","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_5b","pcg_4431","","","","",""
"","","","","","","","","","base","refund","CD_5a","","","","","",""
"","","","","","","","","","tax","refund","CD_5b","pcg_4431","","","","",""
"tva_sale_16_goods_sd","16% G SD","16% Goods Self Delivery","False","","16.0","percent","sale","tax_group_16","base","invoice","CD_3a","","","16% Biens Livraison à soi-meme","16 G LASM","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_3b","pcg_4431","","","","",""
"","","","","","","","","","base","refund","CD_3a","","","","","",""
"","","","","","","","","","tax","refund","CD_3b","pcg_4431","","","","",""
"tva_sale_16_services_sd","16% S SD","16% Services Self Delivery","False","","16.0","percent","sale","tax_group_16","base","invoice","CD_4a","","","16% Services Livraison à soi-meme","16 S LASM","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_4b","pcg_4431","","","","",""
"","","","","","","","","","base","refund","CD_4a","","","","","",""
"","","","","","","","","","tax","refund","CD_4b","pcg_4431","","","","",""
"tva_purchase_good_16","16% M","16% merchandises","True","","16.0","percent","purchase","tax_group_16","base","invoice","","","","16% Marchandises","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_12f","pcg_4452","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","CD_12f","pcg_4452","","","","",""
"tva_purchase_assets_16","16% Asset","16% assets","True","","16.0","percent","purchase","tax_group_16","base","invoice","","","","16% immobilisations","16% Immo","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","CD_11f","pcg_4451","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","CD_11f","pcg_4451","","","","",""
"tva_export_0","0% EX","0% (export)","True","","0.0","","sale","tax_group_0","base","invoice","CD_6a","","","0% (exportation)","","fiscal_position_template_2","tva_sale_16_services,tva_sale_16"
"","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","base","refund","CD_6a","","","","","",""
"","","","","","","","","","tax","refund","","","","","","",""
"tva_import_goods_16","16% G EX","16% (import)","True","","16.0","","purchase","tax_group_16","base","invoice","CD_1a_rc","","","16% (importation)","","fiscal_position_template_2","tva_purchase_good_16"
"","","","","","","","","","tax","invoice","CD_1b","pcg_4431","-100","","","",""
"","","","","","","","","","tax","invoice","CD_12e","pcg_4451","","","","",""
"","","","","","","","","","base","refund","CD_1a_rc","","","","","",""
"","","","","","","","","","tax","refund","CD_1b","pcg_4431","-100","","","",""
"","","","","","","","","","tax","refund","CD_12e","pcg_4451","","","","",""
"tva_import_assets_16","16% I EX","16% (import of assets)","False","","16.0","","purchase","tax_group_16","base","invoice","CD_1a_rc","","","16% (importation d'immobilisations)","","fiscal_position_template_2","tva_purchase_assets_16"
"","","","","","","","","","tax","invoice","CD_1b","pcg_4431","-100","","","",""
"","","","","","","","","","tax","invoice","CD_11e","pcg_4451","","","","",""
"","","","","","","","","","base","refund","CD_1a_rc","","","","","",""
"","","","","","","","","","tax","refund","CD_1b","pcg_4431","-100","","","",""
"","","","","","","","","","tax","refund","CD_11e","pcg_4451","","","","",""
"tva_exempt_0","0%","0% (exempt)","True","","0.0","","sale","tax_group_0","base","invoice","CD_7a","","","0% (exonéré)","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","base","refund","CD_7a","","","","","",""
"","","","","","","","","","tax","refund","","","","","","",""
"tva_non_imposable_0","0% NI","0% (non imposable)","False","","0.0","","sale","tax_group_0","base","invoice","CD_8a","","","","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","base","refund","CD_8a","","","","","",""
"","","","","","","","","","tax","refund","","","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","False","","0.0","","purchase","tax_group_0","base","invoice","","","","0% (exonéré)","","fiscal_position_template_1",""
"","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","tax","refund","","","","","","",""
