"id","sequence","name","auto_apply","vat_required","country_id","country_group_id"
"l10n_ne_domestic_fiscal_position","1","NE Domestic","1","","base.ne",""
"syscebnl_fiscal_position_template_1","1","National","1","","base.ne",""
"syscebnl_fiscal_position_template_2","3","International","1","","",""
