"id","l10n_cz_reverse_charge"
"l10n_cz_tax_reverse_charge_mode","True"
"l10n_cz_supply_service_eu","False"
"l10n_cz_supply_goods_eu","False"
"l10n_cz_special_mode","False"
"l10n_cz_other_transaction_deduction","False"
"l10n_cz_not_subject_vat","False"
"l10n_cz_investment_gold","False"
"l10n_cz_import_goods_tax_authority","False"
"l10n_cz_export_goods","False"
"l10n_cz_exempt_importation_goods","False"
"l10n_cz_acquisition_transport","False"
"l10n_cz_21_tax_reverse_charge_scheme","True"
"l10n_cz_21_receipt_service_person_non_eu","False"
"l10n_cz_21_receipt_service_person_eu","False"
"l10n_cz_21_receipt_domestic_supplies","False"
"l10n_cz_21_other_supplies_chargeable","False"
"l10n_cz_21_import_goods","False"
"l10n_cz_21_domestic_supplies","False"
"l10n_cz_21_acquisition_goods_eu","False"
"l10n_cz_12_tax_reverse_charge_scheme","True"
"l10n_cz_12_receipt_service_person_non_eu","False"
"l10n_cz_12_receipt_service_person_eu","False"
"l10n_cz_12_receipt_domestic_supplies","False"
"l10n_cz_12_purchase_goods_eu","False"
"l10n_cz_12_other_supplies_obligation","False"
"l10n_cz_12_import_goods","False"
"l10n_cz_12_domestic_supplies","False"
