"id","sequence","name","description","invoice_label","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@hu"
"F27","10","27%","27% VAT","27% VAT","False","27.0","percent","sale","tax_group_afa_27","100","base","invoice","+base_pay_27","","27% ÁFA"
"","","","","","","","","","","100","tax","invoice","+vat_pay_27","l10n_hu_467",""
"","","","","","","","","","","100","base","refund","-base_pay_27","",""
"","","","","","","","","","","100","tax","refund","-vat_pay_27","l10n_hu_467",""
"F18","20","18%","18% VAT","18% VAT","False","18.0","percent","sale","tax_group_afa_18","100","base","invoice","+base_pay_18","","18% ÁFA"
"","","","","","","","","","","100","tax","invoice","+vat_pay_18","l10n_hu_467",""
"","","","","","","","","","","100","base","refund","-base_pay_18","",""
"","","","","","","","","","","100","tax","refund","-vat_pay_18","l10n_hu_467",""
"F5","30","5%","5% VAT","5% VAT","False","5.0","percent","sale","tax_group_afa_5","100","base","invoice","+base_pay_5","","5% ÁFA"
"","","","","","","","","","","100","tax","invoice","+vat_pay_5","l10n_hu_467",""
"","","","","","","","","","","100","base","refund","-base_pay_5","",""
"","","","","","","","","","","100","tax","refund","-vat_pay_5","l10n_hu_467",""
"FA","40","0% Sub","0% Subject","0% Subject","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_exempt_tax","","0% Tárgy"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_exempt_tax","",""
"","","","","","","","","","","100","tax","refund","","",""
"FT","50","0% Mat","0% Material","0% Material","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_exempt_property","","0% Anyag"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_exempt_property","",""
"","","","","","","","","","","100","tax","refund","","",""
"FKKS","60","0% S EXEMPT","0% Services Exempt","0% Services Exempt","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_exempt","","0% Szolgáltatásmentes"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_exempt","",""
"","","","","","","","","","","100","tax","refund","","",""
"FKKT","61","0% G EXEMPT","0% Goods Exempt","0% Goods Exempt","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_exempt","","0% árumentes"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_pay_exempt","",""
"","","","","","","","","","","100","tax","refund","","",""
"FF","70","0% R","0% VAT (Reverse)","0% VAT (Reverse)","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_rec_reverse","","0% ÁFA (fordított)"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","-base_rec_reverse","",""
"","","","","","","","","","","100","tax","refund","","",""
"FEUSZ","80","0% EU S","0% Services Intra-community Deliveries","0% Services Intra-community Deliveries","False","0.0","percent","sale","tax_group_afa_0","100","base","invoice","+base_pay_intra","","0% Szolgáltatások ICD"
