id,code,name,parent_id:id,type,user_type:id,reconcile
lv_2012_account_2690,2690,Nauda ceļā,lv_2012_account_2_6,other,account_type_2012_2_5,FALSE
lv_2012_account_3,3,Pašu kapitāls,lv_2012_account_0,view,account.data_account_type_view,FALSE
lv_2012_account_3_1,31,"Pamatkapitāls, pārvērtēšanas rezerve",lv_2012_account_3,view,account.data_account_type_view,FALSE
lv_2012_account_3110,3110,Akciju vai daļu kapitāls (pamatkapitāls),lv_2012_account_3_1,other,account_type_2012_3,FALSE
lv_2012_account_3120,3120,Akciju (daļu) emisijas uzcenojums,lv_2012_account_3_1,other,account_type_2012_3,FALSE
lv_2012_account_3130,3130,Ilgtermiņa ieguldījumu pārvērtēšanas rezerve,lv_2012_account_3_1,other,account_type_2012_3,FALSE
lv_2012_account_3140,3140,Finanšu instrumentu pārvērtēšanas rezerve,lv_2012_account_3_1,other,account_type_2012_3,FALSE
lv_2012_account_3_3,33,Rezerves,lv_2012_account_3,view,account.data_account_type_view,FALSE
lv_2012_account_3310,3310,Likumā noteiktās rezerves,lv_2012_account_3_3,other,account_type_2012_3,FALSE
lv_2012_account_3320,3320,Rezerves pašu akcijām vai daļām,lv_2012_account_3_3,other,account_type_2012_3,FALSE
lv_2012_account_3330,3330,Sabiedrības statūtos noteiktās rezerves,lv_2012_account_3_3,other,account_type_2012_3,FALSE
lv_2012_account_3340,3340,Pārējās rezerves,lv_2012_account_3_3,other,account_type_2012_3,FALSE
lv_2012_account_3_4,34,Nesadalītā peļņa vai nesegtie zaudējumi,lv_2012_account_3,view,account.data_account_type_view,FALSE
lv_2012_account_3410,3410,Iepriekšējo gadu nesadalītā peļņa,lv_2012_account_3_4,other,account_type_2012_3,FALSE
lv_2012_account_3420,3420,Pārskata gada nesadalītā peļņa,lv_2012_account_3_4,other,account_type_2012_3,FALSE
lv_2012_account_4,4,Uzkrājumi,lv_2012_account_0,view,account.data_account_type_view,FALSE
lv_2012_account_4_1,41,Uzkrājumi pensijām un tamlīdzīgām saistībām,lv_2012_account_4,view,account.data_account_type_view,FALSE
lv_2012_account_4110,4110,Uzkrājumi pensijām un tamlīdzīgām saistībām,lv_2012_account_4_1,other,account_type_2012_4,FALSE
lv_2012_account_4_2,42,Uzkrājumi paredzamajiem nodokļiem,lv_2012_account_4,view,account.data_account_type_view,FALSE
lv_2012_account_4210,4210,Uzkrājumi paredzamajiem nodokļiem,lv_2012_account_4_2,other,account_type_2012_4,FALSE
lv_2012_account_4_3,43,Citi uzkrājumi,lv_2012_account_4,view,account.data_account_type_view,FALSE
lv_2012_account_4310,4310,Citi uzkrājumi,lv_2012_account_4_3,other,account_type_2012_4,FALSE
lv_2012_account_5,5,Kreditori,lv_2012_account_0,view,account.data_account_type_view,FALSE
lv_2012_account_5_1,51,Norēķini par aizņēmumiem,lv_2012_account_5,view,account.data_account_type_view,FALSE
lv_2012_account_5110,5110,Aizņēmumi pret obligācijām,lv_2012_account_5_1,payable,account_type_2012_5,FALSE
lv_2012_account_5120,5120,Akcijās pārvēršamie aizņēmumi,lv_2012_account_5_1,payable,account_type_2012_5,FALSE
lv_2012_account_513,513,Aizņēmumi no kredītiestādēm,lv_2012_account_5_1,view,account.data_account_type_view,FALSE
lv_2012_account_5131,5131,Īstermiņa aizņēmumi no kredītiestādēm,lv_2012_account_513,payable,account_type_2012_5,TRUE
lv_2012_account_5132,5132,Ilgtermiņa aizņēmumi no kredītiestādēm,lv_2012_account_513,payable,account_type_2012_5,TRUE
