"id","name","applicability","country_id/id","name@ja_JP"
"account_tag_extraordinary","Extraordinary Item","accounts","base.jp","特別損益"
"account_tag_income_tax","Income Tax Expense","accounts","base.jp","法人税等"
"account_tag_deferred_assets","Deferred Assets","accounts","base.jp","繰延資産"
"account_tag_investment_and_other_assets","Investment and Other Assets","accounts","base.jp","投資その他の資産"
