id,name,description,chart_template_id/id,type_tax_use,amount_type,amount,price_include,sequence,include_base_amount,account_id/id,refund_account_id/id,tag_ids/id,tax_group_id/id
tax_in_e_10,仮受消費税(外) 10%,消費税(外) 10%,l10n_jp1,sale,percent,10,FALSE,1,FALSE,A21809,A21809,"tag_jp_03_10,tag_jp_12_10",tax_group_10
tax_in_i_10,仮受消費税(内) 10%,消費税(内) 10%,l10n_jp1,sale,percent,10,TRUE,1,FALSE,A21809,A21809,"tag_jp_03_10,tag_jp_12_10",tax_group_10
tax_in_e,仮受消費税(外) 8%,消費税(外) 8%,l10n_jp1,sale,percent,8,FALSE,1,FALSE,A21809,A21809,"tag_jp_03,tag_jp_12",tax_group_8
tax_in_i,仮受消費税(内) 8%,消費税(内) 8%,l10n_jp1,sale,percent,8,TRUE,1,FALSE,A21809,A21809,"tag_jp_03,tag_jp_12",tax_group_8
tax_in_x,輸出免税,輸出免税,l10n_jp1,sale,percent,,FALSE,1,FALSE,,,"tag_jp_04,tag_jp_13",tax_group_0
tax_in_o,非課税販売,非課税,l10n_jp1,sale,percent,,FALSE,1,FALSE,,,"tag_jp_09,tag_jp_14",tax_group_0
tax_out_e_10,仮払消費税(外) 10%,消費税(外) 10%,l10n_jp1,purchase,percent,10,FALSE,1,FALSE,A11809,A11809,"tag_jp_07_10,tag_jp_16_10",tax_group_10
tax_out_i_10,仮払消費税(内) 10%,消費税(内) 10%,l10n_jp1,purchase,percent,10,TRUE,1,FALSE,A11809,A11809,"tag_jp_07_10,tag_jp_16_10",tax_group_10
tax_out_e,仮払消費税(外) 8%,消費税(外) 8%,l10n_jp1,purchase,percent,8,FALSE,1,FALSE,A11809,A11809,"tag_jp_07,tag_jp_16",tax_group_8
tax_out_i,仮払消費税(内) 8%,消費税(内) 8%,l10n_jp1,purchase,percent,8,TRUE,1,FALSE,A11809,A11809,"tag_jp_07,tag_jp_16",tax_group_8
tax_out_im,海外仕入,海外仕入,l10n_jp1,purchase,percent,,FALSE,1,FALSE,,,"tag_jp_08,tag_jp_17",tax_group_0
tax_out_o,非課税購買,非課税,l10n_jp1,purchase,percent,,FALSE,1,FALSE,,,"tag_jp_18",tax_group_0
