"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_coop_pymes_296","Deterioro de  valor de participaciones en el patrimonio neto a largo plazo",296,"account.data_account_type_fixed_assets","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_307","Mercaderías adquiridas a socios",307,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_317","Materias primas adquiridas a socios",317,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_4007","Proveedores socios cooperativos",4007,"account.data_account_type_payable","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_447","Socios deudores: creditos por operaciones efectuados con socios",447,"account.data_account_type_receivable","l10n_es.account_chart_template_coop_pymes","False"
"pgc_coop_pymes_490","Deterioro de valor de créditos por operaciones comerciales",490,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5020","Capital social cooperativo con caracterisiticas de deuda a corto plazo",5020,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5210","Deudas a corto plazo por reembolso de aportaciones a los socios",5210,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5211","Acreedores por fondo de reserva obligatorio a corto plazo",5211,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5212","Acreedores por fondo de reembolso o actualizacion a corto plazo",5212,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5213","Acreedores por fondo de reserva voluntario a corto plazo",5213,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5214","Acreedores por fondos capitalizados a corto plazo",5214,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_526","Retorno cooperativo y renumeracion discrecional a pagar a corto plazo",526,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","True"
"account_coop_pymes_5298","Fondo de Educación, Formación y Promoción a corto plazo",5298,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"pgc_coop_pymes_551","Cuenta corriente con socios y administradores",551,"account.data_account_type_current_assets","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5935","Deterioro de valor de participaciones a corto plazo en otras partes vinculadas",5935,"account.data_account_type_current_assets","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_596","Deterioro de valor de participaciones a corto plazo",596,"account.data_account_type_current_assets","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_5427","Créditos con socios por perdidas a compensar a corto plazo",5427,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_55850","Desembolsos exigidos sobre Capital social cooperativo considerado como pasivo financiero",55850,"account.data_account_type_current_liabilities","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_605","Compras efectuados a socios",605,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_617","Variación de existencias adquiridas a socios",617,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_647","Retribución a los socios trabajadores",647,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_650","Pérdidas de créditos comerciales incobrables",650,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_6510","Beneficio transferido (gestor)",6510,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_6511","Pérdida soportada (partícipe o asociado no gestor)",6511,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_657","Dotación al Fondo de Educación, Formación y Promoción",657,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_659","Otras pérdidas en gestión corriente",659,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_663","Pérdidas por valoración de instrumentos financieros por su valor razonable",663,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_6647","Intereses y retorno obligatorio de las aportaciones al capital cooperativo y de otros fondos calificados con características de deuda",6647,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_671","Pérdidas procedentes del inmovilizado material",671,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
"account_coop_pymes_691","Pérdidas por deterioro del inmovilizado material",691,"account.data_account_type_expenses","l10n_es.account_chart_template_coop_pymes","False"
