"id","l10n_mx_edi_hazardous_material"
"product_unspsc.unspsc_code_01010101","0,1"
"product_unspsc.unspsc_code_10121505","0,1"
"product_unspsc.unspsc_code_10151608","0,1"
"product_unspsc.unspsc_code_10171503","0,1"
"product_unspsc.unspsc_code_10171504","0,1"
"product_unspsc.unspsc_code_10171600","0,1"
"product_unspsc.unspsc_code_10171601","0,1"
"product_unspsc.unspsc_code_10171602","0,1"
"product_unspsc.unspsc_code_10171603","0,1"
"product_unspsc.unspsc_code_10171604","0,1"
"product_unspsc.unspsc_code_10171605","0,1"
"product_unspsc.unspsc_code_10171606","0,1"
"product_unspsc.unspsc_code_10171607","0,1"
"product_unspsc.unspsc_code_10171608","0,1"
"product_unspsc.unspsc_code_10171609","0,1"
"product_unspsc.unspsc_code_10171610","0,1"
"product_unspsc.unspsc_code_10171611","0,1"
"product_unspsc.unspsc_code_10171700","0,1"
"product_unspsc.unspsc_code_10171701","0,1"
"product_unspsc.unspsc_code_10171702","0,1"
"product_unspsc.unspsc_code_10191500","0,1"
"product_unspsc.unspsc_code_10191506","0,1"
"product_unspsc.unspsc_code_10191507","0,1"
"product_unspsc.unspsc_code_10191508","0,1"
"product_unspsc.unspsc_code_10191509","0,1"
"product_unspsc.unspsc_code_10191510","0,1"
"product_unspsc.unspsc_code_10191511","0,1"
"product_unspsc.unspsc_code_11101505","0,1"
"product_unspsc.unspsc_code_11101511","0,1"
"product_unspsc.unspsc_code_11101512","0,1"
"product_unspsc.unspsc_code_11101521","0,1"
"product_unspsc.unspsc_code_11101522","0,1"
"product_unspsc.unspsc_code_11101528","0,1"
"product_unspsc.unspsc_code_11101600","0,1"
"product_unspsc.unspsc_code_11101601","0,1"
"product_unspsc.unspsc_code_11101602","0,1"
"product_unspsc.unspsc_code_11101603","0,1"
"product_unspsc.unspsc_code_11101604","0,1"
"product_unspsc.unspsc_code_11101605","0,1"
"product_unspsc.unspsc_code_11101606","0,1"
"product_unspsc.unspsc_code_11101607","0,1"
"product_unspsc.unspsc_code_11101608","0,1"
"product_unspsc.unspsc_code_11101609","0,1"
"product_unspsc.unspsc_code_11101610","0,1"
"product_unspsc.unspsc_code_11101611","0,1"
"product_unspsc.unspsc_code_11101612","0,1"
"product_unspsc.unspsc_code_11101613","0,1"
"product_unspsc.unspsc_code_11101614","0,1"
"product_unspsc.unspsc_code_11101615","0,1"
"product_unspsc.unspsc_code_11101620","0,1"
"product_unspsc.unspsc_code_11101622","0,1"
"product_unspsc.unspsc_code_11101700","0,1"
"product_unspsc.unspsc_code_11101701","0,1"
"product_unspsc.unspsc_code_11101705","0,1"
"product_unspsc.unspsc_code_11101706","0,1"
"product_unspsc.unspsc_code_11101709","0,1"
"product_unspsc.unspsc_code_11101710","0,1"
"product_unspsc.unspsc_code_11101711","0,1"
"product_unspsc.unspsc_code_11101712","0,1"
"product_unspsc.unspsc_code_11101713","0,1"
"product_unspsc.unspsc_code_11101714","0,1"
"product_unspsc.unspsc_code_11101716","0,1"
"product_unspsc.unspsc_code_11101719","0,1"
"product_unspsc.unspsc_code_11101802","0,1"
"product_unspsc.unspsc_code_11101900","0,1"
"product_unspsc.unspsc_code_11101901","0,1"
"product_unspsc.unspsc_code_11101902","0,1"
"product_unspsc.unspsc_code_11101903","0,1"
"product_unspsc.unspsc_code_11101904","0,1"
"product_unspsc.unspsc_code_11101905","0,1"
"product_unspsc.unspsc_code_11101906","0,1"
"product_unspsc.unspsc_code_11101907","0,1"
"product_unspsc.unspsc_code_11101908","0,1"
"product_unspsc.unspsc_code_11121502","0,1"
"product_unspsc.unspsc_code_11121503","0,1"
"product_unspsc.unspsc_code_11121800","0,1"
"product_unspsc.unspsc_code_11121801","0,1"
"product_unspsc.unspsc_code_11121802","0,1"
"product_unspsc.unspsc_code_11121803","0,1"
"product_unspsc.unspsc_code_11121804","0,1"
"product_unspsc.unspsc_code_11121805","0,1"
"product_unspsc.unspsc_code_11121806","0,1"
"product_unspsc.unspsc_code_11121807","0,1"
"product_unspsc.unspsc_code_11121808","0,1"
"product_unspsc.unspsc_code_11121809","0,1"
"product_unspsc.unspsc_code_11121810","0,1"
"product_unspsc.unspsc_code_11121900","0,1"
"product_unspsc.unspsc_code_11121901","0,1"
"product_unspsc.unspsc_code_11141600","0,1"
"product_unspsc.unspsc_code_11141601","0,1"
"product_unspsc.unspsc_code_11141602","0,1"
"product_unspsc.unspsc_code_11141603","0,1"
"product_unspsc.unspsc_code_11141604","0,1"
"product_unspsc.unspsc_code_11141605","0,1"
"product_unspsc.unspsc_code_11141606","0,1"
"product_unspsc.unspsc_code_11141607","0,1"
"product_unspsc.unspsc_code_11141608","0,1"
"product_unspsc.unspsc_code_11141609","0,1"
"product_unspsc.unspsc_code_11141610","0,1"
"product_unspsc.unspsc_code_11141700","0,1"
"product_unspsc.unspsc_code_11141701","0,1"
"product_unspsc.unspsc_code_11141702","0,1"
"product_unspsc.unspsc_code_11151500","0,1"
"product_unspsc.unspsc_code_11151501","0,1"
"product_unspsc.unspsc_code_11151502","0,1"
"product_unspsc.unspsc_code_11151503","0,1"
"product_unspsc.unspsc_code_11151504","0,1"
"product_unspsc.unspsc_code_11151505","0,1"
"product_unspsc.unspsc_code_11151506","0,1"
"product_unspsc.unspsc_code_11151507","0,1"
"product_unspsc.unspsc_code_11151508","0,1"
"product_unspsc.unspsc_code_11151509","0,1"
"product_unspsc.unspsc_code_11151510","0,1"
"product_unspsc.unspsc_code_11151511","0,1"
"product_unspsc.unspsc_code_11151512","0,1"
"product_unspsc.unspsc_code_11151513","0,1"
"product_unspsc.unspsc_code_11151514","0,1"
"product_unspsc.unspsc_code_11151515","0,1"
"product_unspsc.unspsc_code_11151516","0,1"
"product_unspsc.unspsc_code_11151517","0,1"
"product_unspsc.unspsc_code_11151518","0,1"
"product_unspsc.unspsc_code_11151519","0,1"
"product_unspsc.unspsc_code_11151610","0,1"
"product_unspsc.unspsc_code_11151612","0,1"
"product_unspsc.unspsc_code_11162100","0,1"
"product_unspsc.unspsc_code_11162101","0,1"
"product_unspsc.unspsc_code_11162102","0,1"
"product_unspsc.unspsc_code_11162104","0,1"
"product_unspsc.unspsc_code_11162105","0,1"
"product_unspsc.unspsc_code_11162107","0,1"
"product_unspsc.unspsc_code_11162108","0,1"
"product_unspsc.unspsc_code_11162109","0,1"
"product_unspsc.unspsc_code_11162110","0,1"
"product_unspsc.unspsc_code_11162111","0,1"
"product_unspsc.unspsc_code_11162112","0,1"
"product_unspsc.unspsc_code_11162113","0,1"
"product_unspsc.unspsc_code_11162114","0,1"
"product_unspsc.unspsc_code_11162115","0,1"
"product_unspsc.unspsc_code_11162116","0,1"
"product_unspsc.unspsc_code_11162117","0,1"
"product_unspsc.unspsc_code_11162118","0,1"
"product_unspsc.unspsc_code_11162119","0,1"
"product_unspsc.unspsc_code_11162120","0,1"
"product_unspsc.unspsc_code_11162121","0,1"
"product_unspsc.unspsc_code_11162122","0,1"
