"id","l10n_it_withholding_type","l10n_it_withholding_reason","l10n_it_pension_fund_type"
"20vwi","RT01","A",""
"20awi","RT01","A",""
"20vwc","RT02","A",""
"20awc","RT02","A",""
"23vwo","RT02","ZO",""
"23awo","RT02","ZO",""
"23vwn","RT02","ZO",""
"23awn","RT02","ZO",""
"4vinps","","","TC22"
"4ainps","","","TC22"
"4vcp","","","TC01"
"4acp","","","TC01"
"enasarcov","RT04","ZO","TC07"
"enasarcoa","RT04","ZO","TC07"
