"id","name","country_id","name@fi"
"tax_group_25_5","VAT 25.5%","base.fi","ALV 25.5%"
"tax_group_24","VAT 24%","base.fi","ALV 24%"
"tax_group_14","VAT 14%","base.fi","ALV 14 %"
"tax_group_13_5","VAT 13.5%","base.fi","ALV 13.5 %"
"tax_group_10","VAT 10%","base.fi","ALV 10 %"
"tax_group_0","VAT 0%","base.fi","ALV 0 %"
