"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"l10n_mz_account_group_4","","False","Accounts receivable, accounts payable, accruals, and deferrals","4","asset_receivable","",""
"l10n_mz_account_group_41","l10n_mz_account_group_4","False","Trade receivables","41","asset_current","",""
"l10n_mz_account_group_42","l10n_mz_account_group_4","False","Trade payables","42","liability_current","",""
"l10n_mz_account_group_43","l10n_mz_account_group_4","False","Borrowings","43","liability_non_current","",""
"l10n_mz_account_group_431","l10n_mz_account_group_43","False","Bank loans","431","liability_non_current","",""
"l10n_mz_account_group_44","l10n_mz_account_group_4","False","State","44","liability_current","",""
"l10n_mz_account_group_441","l10n_mz_account_group_44","False","Income tax","441","liability_current","",""
"l10n_mz_account_group_442","l10n_mz_account_group_44","False","Withholding tax","442","liability_current","",""
"l10n_mz_account_group_443","l10n_mz_account_group_44","False","Value added tax","443","liability_current","",""
"l10n_mz_account_group_4431","l10n_mz_account_group_443","False","Input VAT","4431","liability_current","",""
"l10n_mz_account_group_4432","l10n_mz_account_group_443","False","Deductible VAT","4432","liability_current","",""
"l10n_mz_account_group_4433","l10n_mz_account_group_443","False","Assessed VAT","4433","liability_current","",""
"l10n_mz_account_group_4434","l10n_mz_account_group_443","False","VAT adjustments","4434","liability_current","",""
"l10n_mz_account_group_444","l10n_mz_account_group_44","False","Remaining taxes","444","liability_current","",""
"l10n_mz_account_group_45","l10n_mz_account_group_4","False","Other receivables","45","asset_receivable","",""
"l10n_mz_account_group_451","l10n_mz_account_group_45","False","Employees receivables","451","asset_receivable","",""
"l10n_mz_account_group_452","l10n_mz_account_group_45","False","Subscribers of Capital","452","asset_receivable","",""
"l10n_mz_account_group_454","l10n_mz_account_group_45","False","Debtors – partners, shareholders or owners","454","asset_receivable","",""
"l10n_mz_account_group_455","l10n_mz_account_group_45","False","Grants receivable","455","asset_receivable","",""
"l10n_mz_account_group_46","l10n_mz_account_group_4","False","Other payables","46","liability_payable","",""
"l10n_mz_account_group_461","l10n_mz_account_group_46","False","Capital expenditure creditors","461","liability_payable","",""
"l10n_mz_account_group_462","l10n_mz_account_group_46","False","Employees payables","462","liability_payable","",""
"l10n_mz_account_group_467","l10n_mz_account_group_46","False","Creditors – partners, shareholders or owners","467","liability_payable","",""
"l10n_mz_account_group_47","l10n_mz_account_group_4","False","Accounts receivable adjustments","47","asset_receivable","",""
"l10n_mz_account_group_48","l10n_mz_account_group_4","False","Provisions","48","liability_non_current","",""
"l10n_mz_account_group_49","l10n_mz_account_group_4","False","Accruals and deferrals","49","asset_receivable","",""
"l10n_mz_account_group_491","l10n_mz_account_group_49","False","Accrued expenses","491","liability_payable","",""
"l10n_mz_account_group_492","l10n_mz_account_group_49","False","Deferred income","492","liability_payable","",""
"l10n_mz_account_group_493","l10n_mz_account_group_49","False","Accrued income","493","asset_receivable","",""
"l10n_mz_account_group_5","","False","Equity","5","equity","",""
"l10n_mz_account_group_52","l10n_mz_account_group_5","False","Treasury shares","52","equity","",""
"l10n_mz_account_group_55","l10n_mz_account_group_5","False","Reserves","55","equity","",""
"l10n_mz_account_group_56","l10n_mz_account_group_5","False","Surplus on revaluation of tangible and intangible assets","56","equity","",""
"l10n_mz_account_group_6","","False","Expenses and losses","6","expense","",""
"l10n_mz_account_group_61","l10n_mz_account_group_6","False","Cost of inventories","61","expense_direct_cost","",""
"l10n_mz_account_group_611","l10n_mz_account_group_61","False","Cost of inventories sold or consumed","611","expense_direct_cost","",""
"l10n_mz_account_group_6116","l10n_mz_account_group_611","False","Raw materials and other supplies","6116","expense_direct_cost","",""
"l10n_mz_account_group_612","l10n_mz_account_group_61","False","Change in production","612","expense_direct_cost","",""
"l10n_mz_account_group_62","l10n_mz_account_group_6","False","Staff expenses","62","expense","",""
