"id","min_num","max_num","name","checksum"
"se_range_1100_1199","1100","1199","Nordea Bank AB","mod11_10_digits"
"se_range_1200_1399","1200","1399","DANSKE BANK","mod11_10_digits"
"se_range_1400_2099","1400","2099","Nordea Bank AB","mod11_10_digits"
"se_range_2300_2399","2300","2399","Ålandsbanken Abp (Finland), svensk filial","mod11_11_digits"
"se_range_2400_2499","2400","2499","DANSKE BANK","mod11_10_digits"
"se_range_3000_3299","3000","3299","Nordea Bank AB","mod11_10_digits"
"se_range_3300_3300","3300","3300","Nordea Bank AB","mod10_10_digits"
"se_range_3301_3399","3301","3399","Nordea Bank AB","mod11_10_digits"
"se_range_3400_3409","3400","3409","LANSFORSAKRINGAR BANK AB","mod11_10_digits"
"se_range_3410_3781","3410","3781","Nordea Bank AB","mod11_10_digits"
"se_range_3782_3782","3782","3782","Nordea Bank AB","mod11_10_digits"
"se_range_3783_3999","3783","3999","Nordea Bank AB","mod11_10_digits"
"se_range_4000_4999","4000","4999","Nordea Bank AB","mod11_11_digits"
"se_range_5000_5999","5000","5999","SKANDINAVISKA ENSKILDA BANKEN AB","mod11_10_digits"
"se_range_6000_6999","6000","6999","HANDELSBANKEN","mod11_8_9_digits"
"se_range_7000_7999","7000","7999","SWEDBANK AB (PUBL)","mod11_10_digits"
"se_range_8000_8999","8000","8999","SWEDBANK AB","mod10_max_10_digits_5"
"se_range_9020_9029","9020","9029","LANSFORSAKRINGAR BANK AB","mod11_11_digits"
"se_range_9040_9049","9040","9049","Citibank International Limited (England) Sverige filial","mod11_11_digits"
"se_range_9060_9069","9060","9069","LANSFORSAKRINGAR BANK AB","mod11_10_digits"
"se_range_9070_9079","9070","9079","Multitude Bank","mod11_10_digits"
"se_range_9090_9099","9090","9099","The Royal Bank of Scotland plc UK Nordic filial","mod11_9_digits"
"se_range_9100_9109","9100","9109","NORDNET BANK AB","mod11_11_digits"
"se_range_9120_9124","9120","9124","SKANDINAVISKA ENSKILDA BANKEN AB","mod11_10_digits"
"se_range_9130_9149","9130","9149","SKANDINAVISKA ENSKILDA BANKEN AB","mod11_10_digits"
"se_range_9150_9169","9150","9169","Skandiabanken AB","mod11_11_digits"
"se_range_9170_9179","9170","9179","IKANO Bank AB","mod11_10_digits"
"se_range_9180_9189","9180","9189","DANSKE BANK","mod10_10_digits"
"se_range_9190_9199","9190","9199","DNB BANK ASA, FILIAL SVERIGE","mod11_11_digits"
"se_range_9230_9239","9230","9239","MARGINALEN BANK BANKAKTIEBOLAG","mod11_10_digits"
"se_range_9250_9259","9250","9259","SBAB","mod11_10_digits"
"se_range_9260_9269","9260","9269","DNB Bank","mod11_11_digits"
"se_range_9270_9279","9270","9279","ICA Banken AB","mod11_10_digits"
"se_range_9280_9289","9280","9289","Resurs Bank Aktiebolag","mod11_10_digits"
"se_range_9300_9349","9300","9349","Sparbanken Öresund AB","mod10_10_digits"
"se_range_9390_9399","9390","9399","Landshypotek Bank","mod11_11_digits"
"se_range_9400_9449","9400","9449","FOREX BANK AKTIEBOLAG","mod11_9_digits"
"se_range_9460_9469","9460","9469","Santander Consumer Bank AS Norge, Sverige Filial","mod11_10_digits"
"se_range_9470_9479","9470","9479","BNP PARIBAS S.A., BANKFILIAL SVERIGE","mod11_11_digits"
"se_range_9500_9549","9500","9549","Skandiabanken AB","mod10_max_10_digits"
"se_range_9550_9569","9550","9569","AVANZA BANK AB","mod11_11_digits"
"se_range_9570_9579","9570","9579","Sparbanken Syd","mod10_10_digits"
"se_range_9580_9589","9580","9589","Aion Bank SA","mod11_10_digits"
"se_range_9590_9599","9590","9599","Erik Penser Bank","mod11_11_digits"
"se_range_9630_9639","9630","9639","Lån og Spar Bank Sverige","mod11_10_digits"
"se_range_9640_9649","9640","9649","NOBA Bank Group","mod11_11_digits"
"se_range_9660_9669","9660","9669","Svea Bank","mod11_11_digits"
"se_range_9670_9679","9670","9679","JAK Medlemsbank","mod11_11_digits"
"se_range_9680_9689","9680","9689","BLUESTEP BANK AB","mod11_10_digits"
"se_range_9700_9709","9700","9709","Ekobanken","mod11_11_digits"
"se_range_9710_9719","9710","9719","Lunar Bank","mod11_11_digits"
"se_range_9750_9759","9750","9759","Northmill Bank","mod11_11_digits"
"se_range_9780_9789","9780","9789","Klarna Bank","mod11_11_digits"
"se_range_9880_9889","9880","9889","Riksgälden","mod11_11_digits"
"se_range_9890_9899","9890","9899","Ålandsbanken Abp (Finland), svensk filial","mod10_10_digits"
"se_range_9960_9969","9960","9969","Skandiabanken AB","mod10_max_10_digits"
