"id","l10n_pt_tax_exemption_reason"
"iva_pt_sale_normal",""
"iva_pt_sale_intermedia",""
"iva_pt_sale_reduzida",""
"iva_pt_sale_isenta","M10"
"iva_pt_purchase_normal",""
"iva_pt_purchase_intermedia",""
"iva_pt_purchase_reduzida",""
"iva_pt_purchase_isenta","M10"
"iva_pt_sale_eu_isenta","M16"
"iva_pt_sale_non_eu_isenta","M05"
"iva_pt_purchase_eu_isenta","M16"
"iva_pt_purchase_non_eu_isenta","M05"
"iva_pt_purchase_eu_normal_bens",""
"iva_pt_purchase_eu_normal_servicos",""
"iva_pt_purchase_eu_intermedia_bens",""
"iva_pt_purchase_eu_intermedia_servicos",""
"iva_pt_purchase_eu_reduzida_bens",""
"iva_pt_purchase_eu_reduzida_servicos",""
"iva_pt_ma_sale_normal",""
"iva_pt_ma_sale_intermedia",""
"iva_pt_ma_sale_reduzida",""
"iva_pt_ma_purchase_normal",""
"iva_pt_ma_purchase_intermedia",""
"iva_pt_ma_purchase_reduzida",""
"iva_pt_ma_purchase_eu_normal_bens",""
"iva_pt_ma_purchase_eu_normal_servicos",""
"iva_pt_ma_purchase_eu_intermedia_bens",""
"iva_pt_ma_purchase_eu_intermedia_servicos",""
"iva_pt_ma_purchase_eu_reduzida_bens",""
"iva_pt_ma_purchase_eu_reduzida_servicos",""
"iva_pt_ac_sale_normal",""
"iva_pt_ac_sale_intermedia",""
"iva_pt_ac_sale_reduzida",""
"iva_pt_ac_purchase_normal",""
"iva_pt_ac_purchase_intermedia",""
"iva_pt_ac_purchase_reduzida",""
"iva_pt_ac_purchase_eu_normal_bens",""
"iva_pt_ac_purchase_eu_normal_servicos",""
"iva_pt_ac_purchase_eu_intermedia_bens",""
"iva_pt_ac_purchase_eu_intermedia_servicos",""
"iva_pt_ac_purchase_eu_reduzida_bens",""
"iva_pt_ac_purchase_eu_reduzida_servicos",""
