"id","l10n_pt_tax_region","l10n_pt_tax_category"
"tax_group_iva_0","PT-ALL","E"
"tax_group_iva_4","PT-AC","R"
"tax_group_iva_5","PT-MA","R"
"tax_group_iva_6","PT","R"
"tax_group_iva_9","PT-AC","I"
"tax_group_iva_12","PT-MA","I"
"tax_group_iva_13","PT","I"
"tax_group_iva_16","PT-AC","N"
"tax_group_iva_22","PT-MA","N"
"tax_group_iva_23","PT","N"
