id,name,applicability
tag_nz_tax_sale_15,Taxable Sales Ex-GST,taxes
tag_nz_tax_sale_inc_15,Taxable Sales Inc-GST,taxes
tag_nz_tax_sale_0,Tax Exclusive Sales,taxes
tag_nz_tax_purchase_15,Taxable Purchases Ex-GST,taxes
tag_nz_tax_purchase_inc_15,Taxable Purchases Inc-GST,taxes
tag_nz_tax_purchase_0,Tax Exempt Purchases,taxes
tag_nz_tax_purchase_taxable_import,Taxable Import without GST,taxes
tag_nz_tax_purchase_gst_only,GST Payment for Taxable Imports,taxes
