"id","name","country_id"
"l10n_lk_tax_group_18","18%","base.lk"
"l10n_lk_tax_group_zero_rated","Zero-rated","base.lk"
"l10n_lk_tax_group_exempt","Exempt","base.lk"
"l10n_lk_tax_group_wht","WHT","base.lk"
"l10n_lk_tax_group_ait","AIT","base.lk"
