"id","name","code","account_type","active","reconcile","non_trade","parent_id","description","name@ar_001","depreciation_model_id","description@ar"
"uae_account_111600","Other property","111600","asset_fixed","True","False","","uae_account_110000","Other type of property, like plants, machinery or various equipment","الممتلكات الأخرى","asset_5_year_linear",""
"uae_account_120000","Inventories","120000","asset_current","False","False","","","","","",""
"uae_account_120100","Inventory - Raw Materials","120100","asset_current","True","False","","uae_account_120000","","","",""
"uae_account_120200","Inventory - Work in Progress","120200","asset_current","True","False","","uae_account_120000","","قيد التنفيذ ","",""
"uae_account_120300","Goods in Transit","120300","asset_current","True","False","","uae_account_120000","","","",""
"uae_account_120301","Shipment Insurance","120301","asset_current","True","False","","uae_account_120000","","تأمين الشحن ","",""
"uae_account_120302","Shipment Documentation Charges","120302","asset_current","True","False","","uae_account_120000","","رسوم وثائق الشحن","",""
"uae_account_120303","Shipment Other Charges","120303","asset_current","True","False","","uae_account_120000","","رسوم الشحن الأخرى","",""
"uae_account_120304","Items Delivered to Customs","120304","asset_current","True","False","","uae_account_120000","","البضائع المسلّمة إلى الجمارك","",""
"uae_account_120400","Handling Difference in Inventory","120400","asset_current","True","False","","uae_account_120000","","إدارة فروقات المخزون","",""
"uae_account_130000","Prepayments","130000","asset_prepayments","False","False","","","","","",""
"uae_account_130100","Prepaid Insurance","130100","asset_prepayments","True","False","","uae_account_130000","","","",""
"uae_account_130101","Prepaid Medical Insurance","130101","asset_prepayments","True","False","","uae_account_130000","","التأمين الطبي المدفوع مسبقاً","",""
"uae_account_130102","Prepaid Life Insurance","130102","asset_prepayments","True","False","","uae_account_130000","","التأمين على الحياة المدفوع مسبقاً","",""
"uae_account_130103","Prepaid Other Insurance","130103","asset_prepayments","True","False","","uae_account_130000","","التأمينات الأخرى المدفوعة مسبقًا","",""
"uae_account_130104","Prepaid Shipping Insurance","130104","asset_prepayments","True","False","","uae_account_130000","","","",""
"uae_account_130200","Prepaid Office Rent","130200","asset_prepayments","True","False","","uae_account_130000","","إيجار المكتب المدفوع مسبقًا","",""
"uae_account_130300","Prepaid License Fees","130300","asset_prepayments","True","False","","uae_account_130000","","رسوم الترخيص المدفوعة مسبقًا","",""
"uae_account_130400","Prepaid Maintenance","130400","asset_prepayments","True","False","","uae_account_130000","","الصيانة المدفوعة مسبقًا","",""
"uae_account_130500","Prepaid Site Hosting Fees","130500","asset_prepayments","True","False","","uae_account_130000","","رسوم استضافة الموقع المدفوعة مسبقًا","",""
"uae_account_130600","Prepaid Employees Housing","130600","asset_prepayments","True","False","","uae_account_130000","","سكن الموظفين المدفوع مسبقًا","",""
"uae_account_130700","Prepaid Schooling Fees","130700","asset_prepayments","True","False","","uae_account_130000","","الرسوم الدراسية المدفوعة مسبقاً","",""
"uae_account_130800","Prepaid Consultancy Fees","130800","asset_prepayments","True","False","","uae_account_130000","","رسوم الاستشارات المدفوعة مسبقًا","",""
"uae_account_130900","Prepaid Legal Fees","130900","asset_prepayments","True","False","","uae_account_130000","","الرسوم القانونية المدفوعة مسبقاً","",""
"uae_account_131000","Prepaid Sponsorship Fees","131000","asset_prepayments","True","False","","uae_account_130000","","رسوم الرعاية المدفوعة مسبقًا","",""
"uae_account_131100","Prepaid Advertisement Expenses","131100","asset_prepayments","True","False","","uae_account_130000","","تكاليف الإعلانات المدفوعة مسبقًا","",""
