"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@ar_001"
"uae_asset_technology","uae_account_106003","uae_account_106003","uae_account_400065","Technology","3","12","التكنولوجيا"
"uae_asset_construction","uae_account_106013","uae_account_106013","uae_account_400092","Construction","30","12","أعمال البناء"
"uae_asset_installation","uae_account_106014","uae_account_106014","uae_account_400093","Installations","10","12","التجهيزات"
"uae_asset_machines_tools","uae_account_106015","uae_account_106015","uae_account_400094","Machines & Tools","5","12","الماكينات والأدوات"
"uae_asset_other_property","uae_account_106016","uae_account_106016","uae_account_400095","Other Property","5","12","العقارات الأخرى"
"uae_asset_furniture_material","uae_account_106002","uae_account_106002","uae_account_400064","Furniture & Material","5","12","الأثاث والمواد"
"uae_asset_vehicle","uae_account_106004","uae_account_106004","uae_account_400066","Vehicle","5","12","المركبة"
"uae_asset_vehicle_accessories","uae_account_106017","uae_account_106017","uae_account_400096","Vehicle Accessories","3","12","ملحقات المركبة"
