"id","country_id","name"
"ae_tax_group_5","base.ae","VAT 5%"
"ae_tax_group_0","base.ae","VAT 0%"
"ae_tax_group_exempted","base.ae","VAT Exempted"
"ae_tax_group_reverse_5","base.ae","Reverse Charge VAT 5%"
"ae_tax_group_out_of_scope","base.ae","Out of Scope"
