"id","name","country_id:id","tax_payable_account_id","tax_receivable_account_id"
"l10n_tw_tax_group_5_vat","5% VAT","base.tw","l10n_tw_account_2285","l10n_tw_account_1486"
"l10n_tw_tax_group_0_vat","0% VAT","base.tw","l10n_tw_account_2285","l10n_tw_account_1486"
"l10n_tw_tax_group_vat_exempt","VAT Exempt","base.tw","l10n_tw_account_2285","l10n_tw_account_1486"
"l10n_tw_tax_group_1_non_vat","1% Non-VAT","base.tw","l10n_tw_account_2287","l10n_tw_account_1487"
"l10n_tw_tax_group_2_non_vat","2% Non-VAT","base.tw","l10n_tw_account_2287","l10n_tw_account_1487"
"l10n_tw_tax_group_5_non_vat","5% Non-VAT","base.tw","l10n_tw_account_2287","l10n_tw_account_1487"
"l10n_tw_tax_group_15_non_vat","15% Non-VAT","base.tw","l10n_tw_account_2287","l10n_tw_account_1487"
"l10n_tw_tax_group_25_non_vat","25% Non-VAT","base.tw","l10n_tw_account_2287","l10n_tw_account_1487"
"l10n_tw_tax_group_5_r_wht","5% R WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_6_r_wht","6% R WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_21_r_wht","21% R WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_10_r_wht","10% R WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_20_r_wht","20% R WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_20_nr_wht","20% NR WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_21_nr_wht","21% NR WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_18_nr_wht","18% NR WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_15_nr_wht","15% NR WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_45_nr_wht","45% NR WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
"l10n_tw_tax_group_35_nr_wht","35% NR WHT","base.tw","l10n_tw_account_2286","l10n_tw_account_1485"
