"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","description@zh_TW","fiscal_position_ids","original_tax_ids","country_id"
"l10n_tw_tax_sale_tr_vat_exempt","TR VAT Exempt","","VAT Exempt - Triplicate Invoices / E-invoices","VAT Exempt","sale","","percent","0","l10n_tw_tax_group_vat_exempt","False","","base","invoice","","T VAT 4","True","免徵增值稅 - 三聯式發票、電子計算機發票","l10n_tw_fiscal_position_vat_exempt_triplicate","l10n_tw_tax_sale_5_tr_vat,l10n_tw_tax_sale_5_cr_t_vat,l10n_tw_tax_sale_0_dr_vat,l10n_tw_tax_sale_0_cr_t_vat,l10n_tw_tax_sale_5_dr_vat,l10n_tw_tax_sale_0_tr_vat,l10n_tw_tax_sale_dr_vat_exempt,l10n_tw_tax_sale_cr_t_vat_exempt","base.tw"
"","","","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","","","","base","refund","","VAT EX 20","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_tw_tax_sale_cr_t_vat_exempt","CR T VAT Exempt","","VAT Exempt - Triplicate Cash Register / E-invoices","VAT Exempt","sale","","percent","0","l10n_tw_tax_group_vat_exempt","False","","base","invoice","","CR T VAT 8","True","免徵增值稅 - 收銀機發票(三聯式)及電子發票","l10n_tw_fiscal_position_vat_exempt_tr_cash_register","l10n_tw_tax_sale_5_tr_vat,l10n_tw_tax_sale_5_cr_t_vat,l10n_tw_tax_sale_0_dr_vat,l10n_tw_tax_sale_0_cr_t_vat,l10n_tw_tax_sale_5_dr_vat,l10n_tw_tax_sale_0_tr_vat,l10n_tw_tax_sale_dr_vat_exempt,l10n_tw_tax_sale_tr_vat_exempt","base.tw"
"","","","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","","","","base","refund","","VAT EX 20","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","","","",""
"l10n_tw_tax_sale_dr_vat_exempt","DR VAT Exempt","","VAT Exempt - Duplicate Invoices / Cash Register (Duplicate)","VAT Exempt","sale","","percent","0","l10n_tw_tax_group_vat_exempt","False","","base","invoice","","D VAT 12","True","免徵增值稅 - 二聯式發票、收銀機發票(二聯式)","l10n_tw_fiscal_position_vat_exempt_duplicate","l10n_tw_tax_sale_5_tr_vat,l10n_tw_tax_sale_5_cr_t_vat,l10n_tw_tax_sale_0_dr_vat,l10n_tw_tax_sale_0_cr_t_vat,l10n_tw_tax_sale_5_dr_vat,l10n_tw_tax_sale_0_tr_vat,l10n_tw_tax_sale_tr_vat_exempt,l10n_tw_tax_sale_cr_t_vat_exempt","base.tw"
"","","","","","","","","","","","100","tax","invoice","","","","","","",""
