"id","l10n_ro_saft_tax_type_id","l10n_ro_saft_tax_code"
"tvac_00","l10n_ro_saft.l10n_ro_saft_tax_type_300","310314"
"tvac_05","l10n_ro_saft.l10n_ro_saft_tax_type_300","310311"
"tvac_09","l10n_ro_saft.l10n_ro_saft_tax_type_300","310310"
"tvac_19","l10n_ro_saft.l10n_ro_saft_tax_type_300","310309"
"tvac_00_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","310314"
"tvac_05_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","310311"
"tvac_09_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","310310"
"tvac_19_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","310309"
"tvad_00","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvad_05","l10n_ro_saft.l10n_ro_saft_tax_type_300","300103"
"tvad_09","l10n_ro_saft.l10n_ro_saft_tax_type_300","300102"
"tvad_19","l10n_ro_saft.l10n_ro_saft_tax_type_300","300101"
"tvad_00_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvad_05_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300103"
"tvad_09_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300102"
"tvad_19_s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300101"
"tvaic_00","l10n_ro_saft.l10n_ro_saft_tax_type_300","310314"
"tvaic_05","l10n_ro_saft.l10n_ro_saft_tax_type_300","310337"
"tvaic_09","l10n_ro_saft.l10n_ro_saft_tax_type_300","310336"
"tvaic_19","l10n_ro_saft.l10n_ro_saft_tax_type_300","310335"
"tvaid_00","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvaid_05","l10n_ro_saft.l10n_ro_saft_tax_type_300","301303"
"tvaid_09","l10n_ro_saft.l10n_ro_saft_tax_type_300","301302"
"tvaid_19","l10n_ro_saft.l10n_ro_saft_tax_type_300","301301"
"tvati","l10n_ro_saft.l10n_ro_saft_tax_type_300","310312"
"tvatip00","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvatip05","l10n_ro_saft.l10n_ro_saft_tax_type_300","300903"
"tvatip09","l10n_ro_saft.l10n_ro_saft_tax_type_300","300902"
"tvatip19","l10n_ro_saft.l10n_ro_saft_tax_type_300","300901"
"tvatiscded","l10n_ro_saft.l10n_ro_saft_tax_type_300","310314"
"tvatiscnoded","l10n_ro_saft.l10n_ro_saft_tax_type_300","310326"
"tvatiscdeda","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvatiscdeda_intr","l10n_ro_saft.l10n_ro_saft_tax_type_300","308303"
"tvatine","l10n_ro_saft.l10n_ro_saft_tax_type_300","308324"
"tvatinea","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvati_intrab","l10n_ro_saft.l10n_ro_saft_tax_type_300","310301"
"tvati_intras","l10n_ro_saft.l10n_ro_saft_tax_type_300","310307"
"tvati_extra","l10n_ro_saft.l10n_ro_saft_tax_type_300","310304"
"tvati_extras","l10n_ro_saft.l10n_ro_saft_tax_type_300","310305"
"tvati_intrap0b","l10n_ro_saft.l10n_ro_saft_tax_type_300","308302"
"tvati_intrap5b","l10n_ro_saft.l10n_ro_saft_tax_type_300","300203"
"tvati_intrap9b","l10n_ro_saft.l10n_ro_saft_tax_type_300","300202"
"tvati_intrap19b","l10n_ro_saft.l10n_ro_saft_tax_type_300","300201"
"tvati_intrap0s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300303"
"tvati_intrap5s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300703"
"tvati_intrap9s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300702"
"tvati_intrap19s","l10n_ro_saft.l10n_ro_saft_tax_type_300","300701"
"tvati_extrap0b","l10n_ro_saft.l10n_ro_saft_tax_type_000","000000"
"tvati_extrap0s","l10n_ro_saft.l10n_ro_saft_tax_type_000","000000"
"tva_ned_5_50","l10n_ro_saft.l10n_ro_saft_tax_type_300","391103"
"tva_ned_9_50","l10n_ro_saft.l10n_ro_saft_tax_type_300","391102"
"tva_ned_19_50","l10n_ro_saft.l10n_ro_saft_tax_type_300","391101"
