"id","name","name@ka","country_id"
"ge_tax_group_vat_18","VAT 18%","დღგ 18%","base.ge"
"ge_tax_group_vat_12","VAT 12%","დღგ 12%","base.ge"
"ge_tax_group_vat_5","VAT 5%","დღგ 5%","base.ge"
"ge_tax_group_vat_0","VAT 0%","დღგ 0%","base.ge"
"ge_tax_group_vat_exempt","VAT Exempt","დღგ — გათავისუფლებული","base.ge"
