"id","name","auto_apply","country_id"
"l10n_my_domestic_fiscal_position","MY Domestic","1","base.my"
"l10n_my_foreign_trade_fiscal_position","Foreign Trade","1",""
"l10n_my_exempted_under_schedule_a_fiscal_position","Exempted person under Schedule A","0",""
"l10n_my_exempted_under_schedule_b_fiscal_position","Exempted person under Schedule B","0",""
"l10n_my_exempted_under_schedule_c_fiscal_position","Exempted person under Schedule C","0",""
