code|name|applies_to|active
01010101|{"en_US":"Does not exist in the catalog"}|product|True
10000000|{"en_US":"Live Plant and Animal Material and Accessories and Supplies"}|product|True
10100000|{"en_US":"Live animals"}|product|True
10101500|{"en_US":"Livestock"}|product|False
10101501|{"en_US":"Cats"}|product|True
10101502|{"en_US":"Dogs"}|product|True
10101504|{"en_US":"Mink"}|product|True
10101505|{"en_US":"Rats"}|product|True
10101506|{"en_US":"Horses"}|product|True
10101507|{"en_US":"Sheep"}|product|True
10101508|{"en_US":"Goats"}|product|True
10101509|{"en_US":"Asses"}|product|True
10101510|{"en_US":"Mice"}|product|True
10101511|{"en_US":"Swine"}|product|True
10101512|{"en_US":"Rabbits"}|product|True
10101513|{"en_US":"Guinea pigs"}|product|True
10101514|{"en_US":"Primates"}|product|True
10101515|{"en_US":"Armadillos"}|product|True
10101516|{"en_US":"Cattle"}|product|True
10101517|{"en_US":"Camels"}|product|True
10101518|{"en_US":"Alpaca"}|product|True
10101600|{"en_US":"Birds and fowl"}|product|False
10101601|{"en_US":"Live chickens"}|product|True
10101602|{"en_US":"Live ducks"}|product|True
10101603|{"en_US":"Live turkeys"}|product|True
10101604|{"en_US":"Live geese"}|product|True
10101605|{"en_US":"Live pheasants"}|product|True
10101607|{"en_US":"Live guinea fowl"}|product|True
10101700|{"en_US":"Live fish"}|product|False
10101701|{"en_US":"Live salmon"}|product|True
10101702|{"en_US":"Live trout"}|product|True
10101703|{"en_US":"Live tilapia"}|product|True
10101704|{"en_US":"Live carp"}|product|True
10101705|{"en_US":"Live eels"}|product|True
10101800|{"en_US":"Shellfish and aquatic invertebrates"}|product|False
10101801|{"en_US":"Live shrimp"}|product|True
10101802|{"en_US":"Live clams"}|product|True
10101803|{"en_US":"Live mussels"}|product|True
10101804|{"en_US":"Live oysters"}|product|True
10101805|{"en_US":"Live crabs"}|product|True
10101806|{"en_US":"Live abalone"}|product|True
10101807|{"en_US":"Live octopi"}|product|True
10101808|{"en_US":"Live squid"}|product|True
10101809|{"en_US":"Leeches"}|product|True
10101900|{"en_US":"Insects"}|product|False
10101901|{"en_US":"Butterflies"}|product|True
10101902|{"en_US":"Beetles"}|product|True
10101903|{"en_US":"Bees"}|product|True
10101904|{"en_US":"Silkworms"}|product|True
10102000|{"en_US":"Wild animals"}|product|False
10102001|{"en_US":"Elephants"}|product|True
10102002|{"en_US":"Live foxes"}|product|True
10102100|{"en_US":"Birds and fowl hatching eggs"}|product|False
10102101|{"en_US":"Chicken hatching eggs"}|product|True
10110000|{"en_US":"Domestic pet products"}|product|True
10111300|{"en_US":"Domestic pet treatments and accessories and equipment"}|product|False
10111301|{"en_US":"Pet toys"}|product|True
10111302|{"en_US":"Pet grooming products"}|product|True
10111303|{"en_US":"Pet litter or equipment for pet waste management"}|product|True
10111304|{"en_US":"Pet food bowls or equipment"}|product|True
10111305|{"en_US":"Medicated pet treatments"}|product|True
10111306|{"en_US":"Domestic pet training kits"}|product|True
10111307|{"en_US":"Pet blankets"}|product|True
10120000|{"en_US":"Animal feed"}|product|True
10121500|{"en_US":"Livestock feed"}|product|False
10121501|{"en_US":"Pure wheat bran"}|product|True
10121502|{"en_US":"Feed oats"}|product|True
10121503|{"en_US":"Feed corn"}|product|True
10121504|{"en_US":"Feed sorghum"}|product|True
10121505|{"en_US":"Hay"}|product|True
10121506|{"en_US":"Oil cake"}|product|True
10121507|{"en_US":"Compound feed"}|product|True
10121600|{"en_US":"Bird and fowl food"}|product|False
10121601|{"en_US":"Live food for birds"}|product|True
10121602|{"en_US":"Bird seed"}|product|True
10121603|{"en_US":"Bird treats or snacks"}|product|True
10121604|{"en_US":"Poultry food"}|product|True
10121700|{"en_US":"Fish food"}|product|False
10121701|{"en_US":"Fresh or frozen brine"}|product|True
10121702|{"en_US":"Fish food pellets"}|product|True
