"id","name","description"
"l10n_be_intrastat.intrastat_category_2014_01012100","01012100","Pure-bred breeding horses"
"l10n_be_intrastat.intrastat_category_2014_01012910","01012910","Horses for slaughter"
"l10n_be_intrastat.intrastat_category_2014_01012990","01012990","Live horses (excl. for slaughter, pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01013000","01013000","Live asses"
"l10n_be_intrastat.intrastat_category_2014_01019000","01019000","Live mules and hinnies"
"l10n_be_intrastat.intrastat_category_2014_01022110","01022110","Pure-bred breeding heifers ""female bovines that have never calved"""
"l10n_be_intrastat.intrastat_category_2014_01022130","01022130","Pure-bred breeding cows (excl. heifers)"
"l10n_be_intrastat.intrastat_category_2014_01022190","01022190","Pure-bred cattle for breeding (excl. heifers and cows)"
"l10n_be_intrastat.intrastat_category_2014_01022905","01022905","Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01022910","01022910","Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01022921","01022921","Cattle of a weight > 80 kg but <= 160 kg, for slaughter"
"l10n_be_intrastat.intrastat_category_2014_01022929","01022929","Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01022941","01022941","Cattle of a weight > 160 kg but <= 300 kg, for slaughter"
"l10n_be_intrastat.intrastat_category_2014_01022949","01022949","Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01022951","01022951","Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter"
"l10n_be_intrastat.intrastat_category_2014_01022959","01022959","Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01022961","01022961","Cows of a weight > 300 kg, for slaughter (excl. heifers)"
"l10n_be_intrastat.intrastat_category_2014_01022969","01022969","Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)"
"l10n_be_intrastat.intrastat_category_2014_01022991","01022991","Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)"
"l10n_be_intrastat.intrastat_category_2014_01022999","01022999","Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)"
"l10n_be_intrastat.intrastat_category_2014_01023100","01023100","Pure-bred buffalo for breeding"
"l10n_be_intrastat.intrastat_category_2014_01023910","01023910","Live domestic buffalo (excl. pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01023990","01023990","Live buffalo (excl. domestic species and pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01029020","01029020","Bovine pure-bred breeding animals (excl. cattle and buffalo)"
"l10n_be_intrastat.intrastat_category_2014_01029091","01029091","Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01029099","01029099","Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)"
"l10n_be_intrastat.intrastat_category_2014_01031000","01031000","Pure-bred breeding swine"
"l10n_be_intrastat.intrastat_category_2014_01039110","01039110","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01039190","01039190","Live non-domestic swine, weighing < 50 kg"
"l10n_be_intrastat.intrastat_category_2014_01039211","01039211","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01039219","01039219","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01039290","01039290","Live non-domestic swine, weighing >= 50 kg"
"l10n_be_intrastat.intrastat_category_2014_01041010","01041010","Pure-bred sheep for breeding"
"l10n_be_intrastat.intrastat_category_2014_01041030","01041030","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)"
"l10n_be_intrastat.intrastat_category_2014_01041080","01041080","Live sheep (excl. lambs and pure-bred breeding animals)"
"l10n_be_intrastat.intrastat_category_2014_01042010","01042010","Pure-bred breeding goats"
"l10n_be_intrastat.intrastat_category_2014_01042090","01042090","Live goats (excl. pure-bred for breeding)"
"l10n_be_intrastat.intrastat_category_2014_01051111","01051111","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g"
"l10n_be_intrastat.intrastat_category_2014_01051119","01051119","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)"
"l10n_be_intrastat.intrastat_category_2014_01051191","01051191","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)"
"l10n_be_intrastat.intrastat_category_2014_01051199","01051199","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)"
