code,id,name,sign,notprintable,parent_id:id
root,atctn_root,Gravamenes,,,
R-IVA,atctn_r_iva,Retenciones sobre el Impuesto al Valor Aggregado,,,atctn_root
R-IVA >>,atctn_r_iva_e,Retenciones de IVA practicadas por el ente economico,,,atctn_r_iva
R-IVA >> 15*16,atctn_r_iva_e_0240,Retenciones >> 0.15*0.16 = 0.024,,,atctn_r_iva_e
R-IVA >> 15*16 - RC,atctn_r_iva_e_0240_rc,Retenciones >> 0.15*0.16 = 0.024 - regimen commun,,,atctn_r_iva_e_0240
R-IVA >> 15*16 - RC-b,atctn_r_iva_e_0240_rc_B,Retenciones >> 0.15*0.16 = 0.024 - regimen commun - La Base,,,atctn_r_iva_e_0240_rc
R-IVA >> 15*16 - RC-v,atctn_r_iva_e_0240_rc_V,Retenciones >> 0.15*0.16 = 0.024 - regimen commun - El Valor,,,atctn_r_iva_e_0240_rc
R-IVA >> 15*16 - RC-bd,atctn_r_iva_e_0240_rc_DB,Retenciones >> 0.15*0.16 = 0.024 - regimen commun - La Base devolucionada,,,atctn_r_iva_e_0240_rc
R-IVA >> 15*16 - RC-vd,atctn_r_iva_e_0240_rc_DV,Retenciones >> 0.15*0.16 = 0.024 - regimen commun - El Valor devolucionado,,,atctn_r_iva_e_0240_rc
R-IVA >> 15*16 - RS,atctn_r_iva_e_0240_rs,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado,,,atctn_r_iva_e_0240
R-IVA >> 15*16 - RS - directo,atctn_r_iva_e_0240_rs_directo,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - directo,,,atctn_r_iva_e_0240_rs
R-IVA >> 15*16 - RS - directo-b,atctn_r_iva_e_0240_rs_directo_B,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - directo - La Base,,,atctn_r_iva_e_0240_rs_directo
R-IVA >> 15*16 - RS - directo-v,atctn_r_iva_e_0240_rs_directo_V,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - directo - El Valor,,,atctn_r_iva_e_0240_rs_directo
R-IVA >> 15*16 - RS - directo-bd,atctn_r_iva_e_0240_rs_directo_DB,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - directo - La Base devolucionada,,,atctn_r_iva_e_0240_rs_directo
R-IVA >> 15*16 - RS - directo-vd,atctn_r_iva_e_0240_rs_directo_DV,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - directo - El Valor devolucionado,,,atctn_r_iva_e_0240_rs_directo
R-IVA >> 15*16 - RS - commun,atctn_r_iva_e_0240_rs_commun,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - commun/proportional,,,atctn_r_iva_e_0240_rs
R-IVA >> 15*16 - RS - commun-b,atctn_r_iva_e_0240_rs_commun_B,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - commun/proportional - La Base,,,atctn_r_iva_e_0240_rs_commun
R-IVA >> 15*16 - RS - commun-v,atctn_r_iva_e_0240_rs_commun_V,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - commun/proportional - El Valor,,,atctn_r_iva_e_0240_rs_commun
R-IVA >> 15*16 - RS - commun-bd,atctn_r_iva_e_0240_rs_commun_DB,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - commun/proportional - La Base devolucionada,,,atctn_r_iva_e_0240_rs_commun
R-IVA >> 15*16 - RS - commun-vd,atctn_r_iva_e_0240_rs_commun_DV,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - commun/proportional - El Valor devolucionado,,,atctn_r_iva_e_0240_rs_commun
R-IVA >> 15*16 - RS - nodesc,atctn_r_iva_e_0240_rs_nodesc,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - nodescontable,,,atctn_r_iva_e_0240_rs
R-IVA >> 15*16 - RS - nodesc-b,atctn_r_iva_e_0240_rs_nodesc_B,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - nodescontable - La Base,,,atctn_r_iva_e_0240_rs_nodesc
R-IVA >> 15*16 - RS - nodesc-v,atctn_r_iva_e_0240_rs_nodesc_V,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - nodescontable - El Valor,,,atctn_r_iva_e_0240_rs_nodesc
R-IVA >> 15*16 - RS - nodesc-bd,atctn_r_iva_e_0240_rs_nodesc_DB,Retenciones >> 0.15*0.16 = 0.024 - regimen simplificado - nodescontable - La Base devolucionada,,,atctn_r_iva_e_0240_rs_nodesc
