"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@sv_SE"
"tax_group_25","VAT 25%","base.se","a2650","a1650","Moms 25%"
"tax_group_12","VAT 12%","base.se","a2650","a1650","Moms 12%"
"tax_group_6","VAT 6%","base.se","a2650","a1650","Moms 6%"
"tax_group_0","VAT 0%","base.se","a2650","a1650","Moms 0%"
