id,sequence,name,description,invoice_label,amount,amount_type,formula,type_tax_use,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/account_id,price_include_override,include_base_amount,l10n_gt_edi_taxable_unit_code,l10n_gt_edi_short_name,description@es,invoice_label@es
impuestos_plantilla_iva_compra_tasa_0,3,0%,VAT 0%,VAT 0%,0,percent,,purchase,base,invoice,,,,2,IVA,IVA 0%,IVA 0%
,,,,,,,,,tax,invoice,,,,,,,
,,,,,,,,,base,refund,,,,,,,
,,,,,,,,,tax,refund,,,,,,,
impuestos_plantilla_iva_venta_tasa_0,4,0%,VAT 0%,VAT 0%,0,percent,,sale,base,invoice,,,,2,IVA,IVA 0%,IVA 0%
,,,,,,,,,tax,invoice,,,,,,,
,,,,,,,,,base,refund,,,,,,,
,,,,,,,,,tax,refund,,,,,,,
impuestos_petroleo_compra_47,5,Petroleo Sup,Petroleo: Superior fuel tax,Petroleo: Superior fuel tax,0,code,quantity * 4.7,purchase,base,invoice,,,,1,PETROLEO,Impuesto al Gasolina superior,Impuesto al Gasolina superior
,,,,,,,,,tax,invoice,cta110303,,,,,,
,,,,,,,,,base,refund,,,,,,,
,,,,,,,,,tax,refund,cta110303,,,,,,
impuestos_petroleo_compra_46,6,Petroleo Reg,Petroleo: Regular fuel tax,Petroleo: Regular fuel tax,0,code,quantity * 4.6,purchase,base,invoice,,,,2,PETROLEO,Impuesto al Gasolina regular,Impuesto al Gasolina regular
,,,,,,,,,tax,invoice,cta110303,,,,,,
,,,,,,,,,base,refund,,,,,,,
,,,,,,,,,tax,refund,cta110303,,,,,,
impuestos_petroleo_compra_13,7,Petroleo Die,Petroleo: Diesel fuel tax,Petroleo: Diesel fuel tax,0,code,quantity * 1.3,purchase,base,invoice,,,,4,PETROLEO,Impuesto al Diesel y gas oil,Impuesto al Diesel y gas oil
,,,,,,,,,tax,invoice,cta110303,,,,,,
,,,,,,,,,base,refund,,,,,,,
,,,,,,,,,tax,refund,cta110303,,,,,,
