"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@sv_SE","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"sale_tax_25_goods","25% G","VAT Sale of goods 25%","25%","25.0","sale","tax_group_25","base","invoice","se_05","","","Utgående moms 25%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_10","a2611","","","","",""
"","","","","","","","base","refund","se_05","","","","","",""
"","","","","","","","tax","refund","se_10","a2611","","","","",""
"sale_tax_25_services","25% S","VAT Sale of services 25%","25%","25.0","sale","tax_group_25","base","invoice","se_05","","","Utgående moms Tjänst 25%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_10","a2611","","","","",""
"","","","","","","","base","refund","se_05","","","","","",""
"","","","","","","","tax","refund","se_10","a2611","","","","",""
"purchase_tax_25_goods","25% G","VAT Purchases of goods 25%","25%","25.0","purchase","tax_group_25","base","invoice","","","","Ingående moms 25%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_48","a2641","","","","",""
"","","","","","","","base","refund","","","","","","",""
"","","","","","","","tax","refund","se_48","a2641","","","","",""
"purchase_tax_25_services","25% S","VAT Purchases of services 25%","25%","25.0","purchase","tax_group_25","base","invoice","","","","Ingående moms Tjänst 25%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_48","a2641","","","","",""
"","","","","","","","base","refund","","","","","","",""
"","","","","","","","tax","refund","se_48","a2641","","","","",""
"sale_tax_12_goods","12% G","VAT Sale of goods 12%","12%","12.0","sale","tax_group_12","base","invoice","se_05","","","Utgående moms 12%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_11","a2621","","","","",""
"","","","","","","","base","refund","se_05","","","","","",""
"","","","","","","","tax","refund","se_11","a2621","","","","",""
"sale_tax_12_services","12% S","VAT Sale of services 12%","12%","12.0","sale","tax_group_12","base","invoice","se_05","","","Utgående moms Tjänst 12%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_11","a2621","","","","",""
"","","","","","","","base","refund","se_05","","","","","",""
"","","","","","","","tax","refund","se_11","a2621","","","","",""
"purchase_tax_12_goods","12% G","VAT Purchases of goods 12%","12%","12.0","purchase","tax_group_12","base","invoice","","","","Ingående moms 12%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_48","a2641","","","","",""
"","","","","","","","base","refund","","","","","","",""
"","","","","","","","tax","refund","se_48","a2641","","","","",""
"purchase_tax_12_services","12% S","VAT Purchases of services 12%","12%","12.0","purchase","tax_group_12","base","invoice","","","","Ingående moms Tjänst 12%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_48","a2641","","","","",""
"","","","","","","","base","refund","","","","","","",""
"","","","","","","","tax","refund","se_48","a2641","","","","",""
"sale_tax_6_goods","6% G","VAT Sale of goods 6%","6%","6.0","sale","tax_group_6","base","invoice","se_05","","","Utgående moms 6%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_12","a2631","","","","",""
"","","","","","","","base","refund","se_05","","","","","",""
"","","","","","","","tax","refund","se_12","a2631","","","","",""
"sale_tax_6_services","6% S","VAT Sale of services 6%","6%","6.0","sale","tax_group_6","base","invoice","se_05","","","Utgående moms Tjänst 6%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_12","a2631","","","","",""
"","","","","","","","base","refund","se_05","","","","","",""
"","","","","","","","tax","refund","se_12","a2631","","","","",""
"purchase_tax_6_goods","6% G","VAT Purchase of goods 6%","6%","6.0","purchase","tax_group_6","base","invoice","","","","Ingående moms 6%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_48","a2641","","","","",""
"","","","","","","","base","refund","","","","","","",""
"","","","","","","","tax","refund","se_48","a2641","","","","",""
"purchase_tax_6_services","6% S","VAT Purchase of services 6%","6%","6.0","purchase","tax_group_6","base","invoice","","","","Ingående moms Tjänst 6%","fp_sweden,fp_euro_b2c","",""
"","","","","","","","tax","invoice","se_48","a2641","","","","",""
"","","","","","","","base","refund","","","","","","",""
"","","","","","","","tax","refund","se_48","a2641","","","","",""
"sale_tax_services_EC","0% EU S","VAT Sale of services in the EU 0%","0%","0.0","sale","tax_group_0","base","invoice","se_39","","","Momsfri försäljning av tjänst EU","fp_euro_b2b","sale_tax_25_services,sale_tax_6_services,sale_tax_12_services","VAT Reverse charge - Article 196 of the Directive 2006/112/EC"
"","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","base","refund","se_39","","","","","",""
"","","","","","","","tax","refund","","","","","","",""
"sale_tax_goods_EC","0% EU G","VAT Sale of goods in the EU 0%","0%","0.0","sale","tax_group_0","base","invoice","se_35","","","Momsfri Försäljning av varor EU","fp_euro_b2b","sale_tax_25_goods,sale_tax_12_goods,sale_tax_6_goods","Exempt intra-community supplies - Article 138 of the Directive 2006/112/EC"
"","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","base","refund","se_35","","","","","",""
"","","","","","","","tax","refund","","","","","","",""
"purchase_goods_tax_25_EC","25% EU G","VAT Purchase of goods in the EU 25%","25%","25.0","purchase","tax_group_25","base","invoice","se_20","","","Inköp av varor EU moms 25%","fp_euro_b2b","purchase_tax_25_goods",""
"","","","","","","","tax","invoice","se_30||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2614","-100","","","",""
"","","","","","","","base","refund","se_20","","","","","",""
"","","","","","","","tax","refund","se_30||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2614","-100","","","",""
"purchase_goods_tax_12_EC","12% EU G","VAT Purchase of goods in the EU 12%","12%","12.0","purchase","tax_group_12","base","invoice","se_20","","","Inköp av varor EU moms 12%","fp_euro_b2b","purchase_tax_12_goods",""
"","","","","","","","tax","invoice","se_31||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2624","-100","","","",""
"","","","","","","","base","refund","se_20","","","","","",""
"","","","","","","","tax","refund","se_31||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2624","-100","","","",""
"purchase_goods_tax_6_EC","6% EU G","VAT Purchase of goods in the EU 6%","6%","6.0","purchase","tax_group_6","base","invoice","se_20","","","Inköp av varor EU moms 6%","fp_euro_b2b","purchase_tax_6_goods",""
"","","","","","","","tax","invoice","se_32||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2634","-100","","","",""
"","","","","","","","base","refund","se_20","","","","","",""
"","","","","","","","tax","refund","se_32||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2634","-100","","","",""
"purchase_services_tax_25_EC","25% EU S","VAT Purchase of services in the EU 25%","25%","25.0","purchase","tax_group_25","base","invoice","se_21","","","Inköp av tjänst EU moms 25%","fp_euro_b2b","purchase_tax_25_services",""
"","","","","","","","tax","invoice","se_30||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2614","-100","","","",""
"","","","","","","","base","refund","se_21","","","","","",""
"","","","","","","","tax","refund","se_30||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2614","-100","","","",""
"purchase_services_tax_12_EC","12% EU S","VAT Purchase of services in the EU 12%","12%","12.0","purchase","tax_group_12","base","invoice","se_21","","","Inköp av tjänst EU moms 12%","fp_euro_b2b","purchase_tax_12_services",""
"","","","","","","","tax","invoice","se_31||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2624","-100","","","",""
"","","","","","","","base","refund","se_21","","","","","",""
"","","","","","","","tax","refund","se_31||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2624","-100","","","",""
"purchase_services_tax_6_EC","6% EU S","VAT Purchase of services in the EU 6%","6%","6.0","purchase","tax_group_6","base","invoice","se_21","","","Inköp av tjänst EU moms 6%","fp_euro_b2b","purchase_tax_6_services",""
"","","","","","","","tax","invoice","se_32||se_48","a2645","","","","",""
"","","","","","","","tax","invoice","","a2634","-100","","","",""
"","","","","","","","base","refund","se_21","","","","","",""
"","","","","","","","tax","refund","se_32||se_48","a2645","","","","",""
"","","","","","","","tax","refund","","a2634","-100","","","",""
"purchase_construction_services_tax_25_EC","25% EU RS","VAT Purchase of services in Sweden, reverse charge 25%","25%","25.0","purchase","tax_group_25","base","invoice","se_24","","","Inköpta tjänster i Sverige, omvändskattskyldighet, 25 %","fp_euro_b2b","",""
"","","","","","","","tax","invoice","se_30||se_48","a2647","","","","",""
"","","","","","","","tax","invoice","","a2614","-100","","","",""
"","","","","","","","base","refund","se_24","","","","","",""
"","","","","","","","tax","refund","se_30||se_48","a2647","","","","",""
"","","","","","","","tax","refund","","a2614","-100","","","",""
"purchase_construction_services_tax_12_EC","12% EU RS","VAT Purchase of services in Sweden, reverse charge 12%","12%","12.0","purchase","tax_group_12","base","invoice","se_24","","","Inköpta tjänster i Sverige, omvändskattskyldighet, 12 %","fp_euro_b2b","",""
"","","","","","","","tax","invoice","se_31||se_48","a4426","","","","",""
"","","","","","","","tax","invoice","","a2624","-100","","","",""
"","","","","","","","base","refund","se_24","","","","","",""
"","","","","","","","tax","refund","se_31||se_48","a4426","","","","",""
"","","","","","","","tax","refund","","a2624","-100","","","",""
"purchase_construction_services_tax_6_EC","6% EU RS","VAT Purchase of services in Sweden, reverse charge 6%","6%","6.0","purchase","tax_group_6","base","invoice","se_24","","","Inköpta tjänster i Sverige, omvändskattskyldighet, 6 %","fp_euro_b2b","",""
"","","","","","","","tax","invoice","se_32||se_48","a4427","","","","",""
"","","","","","","","tax","invoice","","a2634","-100","","","",""
"","","","","","","","base","refund","se_24","","","","","",""
"","","","","","","","tax","refund","se_32||se_48","a4427","","","","",""
"","","","","","","","tax","refund","","a2634","-100","","","",""
"sale_tax_services_NEC","0% EU RS","VAT Sale of services outside EU 0%","0%","0.0","sale","tax_group_0","base","invoice","se_39","","","Momsfri försäljning av tjänst utanför EU","fp_outside_euro","sale_tax_25_services,sale_tax_6_services,sale_tax_12_services",""
"","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","base","refund","se_39","","","","","",""
"","","","","","","","tax","refund","","","","","","",""
"sale_tax_goods_NEC","0% EX G","VAT Sale of goods outside EU 0%","0%","0.0","sale","tax_group_0","base","invoice","se_36","","","Momsfri försäljning av varor utanför EU","fp_outside_euro","sale_tax_25_goods,sale_tax_12_goods,sale_tax_6_goods",""
"","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","base","refund","se_36","","","","","",""
"","","","","","","","tax","refund","","","","","","",""
