"id","name","country_id","pos_receipt_label","name@sv_SE"
"tax_group_25","VAT 25%","base.se","A","Moms 25%"
"tax_group_12","VAT 12%","base.se","B","Moms 12%"
"tax_group_6","VAT 6%","base.se","C","Moms 6%"
"tax_group_0","VAT 0%","base.se","D","Moms 0%"
