"id","name","applicability"
"DDV_I_0","Izstopni DDV 0%","taxes"
"DDV_I_9_5","Izstopni DDV 9.5%","taxes"
"DDV_I_22","Izstopni DDV 22%","taxes"
"DDV_V_0","Vstopni DDV 0%","taxes"
"DDV_V_9_5","Vstopni DDV 9.5%","taxes"
"DDV_V_22","Vstopni DDV 22%","taxes"
"DDV_V_9_5_NE","Vstopni DDV 9.5% - neodbitni","taxes"
"DDV_V_22_NE","Vstopni DDV 22% - neodbitni","taxes"
"DDV_V_9_5_SO","Vstopni DDV 9.5% - SO","taxes"
"DDV_I_9_5_SO","Izstopni DDV 9.5% - SO","taxes"
"DDV_V_9_5_sam","Vstopni DDV 9.5% - samoobdavčitev","taxes"
"DDV_V_22_SO","Vstopni DDV 22% - SO","taxes"
"DDV_I_22_SO","Izstopni DDV 22% - SO","taxes"
"DDV_V_22_sam","Vstopni DDV 22% - samoobdavčitev","taxes"
