"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_dest_id","account_ids/account_src_id"
"account_fiscal_position_template_rrif_domairpartneri0","R1 partneri","","","",""
"account_fiscal_position_template_rrif_2","R2 partneri","rrif_pp_25usl","rrif_ppr2_25","",""
"","","","","kp_rrif2220","kp_rrif2200"
"account_fiscal_position_template_rrif_3","EU Inozemni","rrif_pdv_25","rrif_pdv_osl_izvoz_0","",""
"","","rrif_pdv_25usl","rrif_pdv_osl_izvoz_0","",""
"","","rrif_pp_25","rrif_pp_uvoz_0","",""
"","","rrif_pp_25usl","rrif_pp_uvoz_samopdv_25usl","",""
"","","","","kp_rrif1210","kp_rrif1200"
"","","","","kp_rrif2210","kp_rrif2200"
"account_fiscal_position_template_rrif_4","Inozemni","","","",""
