"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","active","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@sr@latin"
"rs_sale_vat_20","10","20%","VAT 20%","20%","20.0","percent","sale","True","tax_group_vat_20","100","base","invoice","+003","","20%"
"","","","","","","","","","","100","tax","invoice","+103","rs_470",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-103","rs_470",""
"rs_sale_vat_10","20","10%","VAT 10%","10%","10.0","percent","sale","True","tax_group_vat_10","100","base","invoice","+004","","10%"
"","","","","","","","","","","100","tax","invoice","+104","rs_471",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-104","rs_471",""
"rs_sale_vat_0","30","0%","VAT 0%","0%","0.0","percent","sale","True","tax_group_vat_0","100","base","invoice","","","0%"
"","","","","","","","","","","100","tax","invoice","","rs_471",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","","rs_471",""
"rs_sale_vat_0_deduct_previous_tax","40","0% - prev. tax deductible","VAT 0% with the right to deduct previous tax","0% D","0.0","percent","sale","True","tax_group_vat_0","100","base","invoice","+001","","0% - odbitak prethodnog poreza"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","","",""
"rs_sale_vat_0_no_deduct_previous_tax","50","0% - prev. tax not deductible","VAT 0% without the right to deduct previous tax","0% ND","0.0","percent","sale","True","tax_group_vat_0","100","base","invoice","+002","","0% - prethodni porez se ne odbija"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","","",""
"rs_purchase_vat_20","60","20%","VAT 20%","20%","20.0","percent","purchase","True","tax_group_vat_20","100","base","invoice","+008","","20%"
"","","","","","","","","","","100","tax","invoice","+108","rs_270",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-108","rs_270",""
"rs_purchase_vat_10","70","10%","VAT 10%","10%","10.0","percent","purchase","True","tax_group_vat_10","100","base","invoice","+008","","10%"
"","","","","","","","","","","100","tax","invoice","+108","rs_271",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-108","rs_271",""
"rs_purchase_vat_0","80","0%","VAT 0%","0%","0.0","percent","purchase","True","tax_group_vat_0","100","base","invoice","","","0%"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","","",""
"rs_purchase_import_vat_0","90","0% - import","VAT 0% - import VAT exempt","0% EX","0.0","percent","purchase","True","tax_group_vat_10","100","base","invoice","+006","","0% - uvoz"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","","",""
"rs_purchase_import_vat_20","100","20% - import","VAT 20% - import general rate","20% EX","20.0","percent","purchase","True","tax_group_vat_10","100","base","invoice","+006","","20% - uvoz"
"","","","","","","","","","","100","tax","invoice","+106","rs_274",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-106","rs_274",""
"rs_purchase_import_vat_10","110","10% - import","VAT 10% - import specific rate","10% EX","10.0","percent","purchase","True","tax_group_vat_10","100","base","invoice","+006","","10% - uvoz"
"","","","","","","","","","","100","tax","invoice","+106","rs_275",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-106","rs_275",""
"rs_purchase_farmer_deductible_vat_8","120","8% - farmers deductible","VAT 8% - deductible farmers compensation","8% F D","8.0","percent","purchase","True","tax_group_vat_compensation","100","base","invoice","+007","","8% - poljoprivrednici koji se odbijaju"
"","","","","","","","","","","100","tax","invoice","+107","rs_278",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","-107","rs_278",""
"rs_purchase_farmer_non_deductible_vat_8","130","8% - farmers non-deductible","VAT 8% - non-deductible farmers compensation","8% F ND","8.0","percent","purchase","True","tax_group_vat_compensation","100","base","invoice","+007","","8% - poljoprivrednici bez odbitka"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","","100","tax","refund","","",""
