"id","sequence","name","auto_apply","country_id","account_ids/account_src_id","account_ids/account_dest_id","name@sr@latin"
"fiscal_position_template_domestic","1","Domestic Customer","1","base.rs","","","Domaći kupac"
"fiscal_position_template_foreign","2","Foreign Customer","1","","","","Strani kupac"
"","","","","","rs_604","rs_605",""
