"id","code","name","account_type","reconcile","non_trade"
"220101","220101","CIS Deducted on Sales","asset_current","False",""
"220001","220001","CIS Deducted on Purchases","liability_current","False",""
"220201","220201","HMRC - CIS Account","liability_payable","True","True"
